,0,1,2,3,4,5,6
0,0.012301285,0.012301285,0.012301285,0.012301285,0.012301285,0.01396675,0.011314852
1,0.002082593,0.002082593,0.002082593,0.002082593,0.002082593,0.002961806,0.007926065
2,0,0,0,0,0,0.001188758,0.004461402
3,0,0,0,0,0,0,0.00179064
4,0.002608626,0.002608626,0.002608626,0.002608626,0.002608626,0.002961806,0.00179064
5,0.013212005,0.013212005,0.013212005,0.013212005,0.013212005,0.008052795,0.004461402
6,0.049383915,0.049383915,0.049383915,0.049383915,0.049383915,0.015500925,0.009629865
7,0.070757859,0.070757859,0.070757859,0.070757859,0.070757859,0.031297849,0.01946296
8,0.074476075,0.074476075,0.074476075,0.074476075,0.074476075,0.051107926,0.030122406
9,0.069557386,0.069557386,0.069557386,0.069557386,0.069557386,0.064847894,0.044589991
10,0.057452466,0.057452466,0.057452466,0.057452466,0.057452466,0.071133595,0.067022212
11,0.050497886,0.050497886,0.050497886,0.050497886,0.050497886,0.071549119,0.076073731
12,0.047508641,0.047508641,0.047508641,0.047508641,0.047508641,0.06824172,0.076073731
13,0.046276387,0.046276387,0.046276387,0.046276387,0.046276387,0.065230925,0.070481638
14,0.048687317,0.048687317,0.048687317,0.048687317,0.048687317,0.061769635,0.069025116
15,0.058432472,0.058432472,0.058432472,0.058432472,0.058432472,0.062200325,0.067022212
16,0.068148087,0.068148087,0.068148087,0.068148087,0.068148087,0.067055618,0.076073731
17,0.069530986,0.069530986,0.069530986,0.069530986,0.069530986,0.072463308,0.078726472
18,0.070276751,0.070276751,0.070276751,0.070276751,0.070276751,0.06824172,0.073333396
19,0.065285266,0.065285266,0.065285266,0.065285266,0.065285266,0.055803978,0.067022212
20,0.045013563,0.045013563,0.045013563,0.045013563,0.045013563,0.046475919,0.056175526
21,0.031482954,0.031482954,0.031482954,0.031482954,0.031482954,0.035362028,0.039294735
22,0.026072205,0.026072205,0.026072205,0.026072205,0.026072205,0.032130535,0.027891433
23,0.020955276,0.020955276,0.020955276,0.020955276,0.020955276,0.030455068,0.020233633
