id,scenario,year,0
ALB,current,2030.0,1.2076925438185446
AUT,current,2030.0,1.0796004169751716
BEL,current,2030.0,1.0571914282718056
BGR,current,2030.0,1.0828990946280048
BIH,current,2030.0,1.208180773881667
CHE,current,2030.0,1.0286876075527884
CYP,current,2030.0,1.2654467164744403
CZE,current,2030.0,1.2463423545841676
DEU,current,2030.0,1.0311279234972257
DNK,current,2030.0,1.1687842403145452
ESP,current,2030.0,1.1845083076512797
EST,current,2030.0,1.2159883864290586
FIN,current,2030.0,1.0501764891118648
FRA,current,2030.0,1.1215036459088696
GBR,current,2030.0,1.1586574774685874
GRC,current,2030.0,0.9972236352562861
HRV,current,2030.0,0.9383134259442947
HUN,current,2030.0,1.5553838816396561
IRL,current,2030.0,1.6361549531374013
ISL,current,2030.0,1.1346068860047536
ITA,current,2030.0,0.9958080065585916
LTU,current,2030.0,1.0505655901378181
LUX,current,2030.0,1.372626318783
LVA,current,2030.0,1.0165797850250573
MKD,current,2030.0,0.8569025886945043
MNE,current,2030.0,1.206958098209557
NLD,current,2030.0,1.1323641965444229
NOR,current,2030.0,1.1253303961459422
POL,current,2030.0,1.350983984239433
PRT,current,2030.0,1.0598203702041593
ROU,current,2030.0,1.470196036283916
SRB,current,2030.0,1.2085125913142984
SVK,current,2030.0,1.3238215567254705
SVN,current,2030.0,1.3151431028944904
SWE,current,2030.0,1.191518243549699
ALB,current,2050.0,2.245215635869693
AUT,current,2050.0,1.0316895231168608
BEL,current,2050.0,1.113848604024034
BGR,current,2050.0,1.6175465422019186
BIH,current,2050.0,2.241286706598437
CHE,current,2050.0,1.0421281774086262
CYP,current,2050.0,2.6991601662012914
CZE,current,2050.0,1.4724502514136022
DEU,current,2050.0,1.0956292637479148
DNK,current,2050.0,1.3263481302722688
ESP,current,2050.0,1.939180029157423
EST,current,2050.0,2.0081417427333745
FIN,current,2050.0,1.083537250790784
FRA,current,2050.0,1.2703710148878025
GBR,current,2050.0,1.2596415478686402
GRC,current,2050.0,1.6269239990734694
HRV,current,2050.0,1.0169418886761874
HUN,current,2050.0,4.546254093197667
IRL,current,2050.0,1.9427912339107933
ISL,current,2050.0,1.4044914880599988
ITA,current,2050.0,1.3457229061179823
LTU,current,2050.0,1.3589148373441442
LUX,current,2050.0,1.6675335691451754
LVA,current,2050.0,1.4612269986147144
MKD,current,2050.0,1.5170961654819966
MNE,current,2050.0,2.2511259332259055
NLD,current,2050.0,1.2962867023757805
NOR,current,2050.0,1.0858249642795277
POL,current,2050.0,1.8524492551360152
PRT,current,2050.0,1.5097738489875676
ROU,current,2050.0,2.7177394420085648
SRB,current,2050.0,2.2386164752418507
SVK,current,2050.0,1.6082239740556825
SVN,current,2050.0,1.3594746599726562
SWE,current,2050.0,1.1797050648241554
ALB,government-directed,2030.0,1.2076398695817367
AUT,government-directed,2030.0,1.0791074943696821
BEL,government-directed,2030.0,1.0565350904902673
BGR,government-directed,2030.0,1.083175260651491
BIH,government-directed,2030.0,1.208132440409913
CHE,government-directed,2030.0,1.0279312807701917
CYP,government-directed,2030.0,1.2986674579949131
CZE,government-directed,2030.0,1.2459329145790974
DEU,government-directed,2030.0,1.030266771553722
DNK,government-directed,2030.0,1.1684510877518877
ESP,government-directed,2030.0,1.1837500519114046
EST,government-directed,2030.0,1.213763129672226
FIN,government-directed,2030.0,1.0498879422783947
FRA,government-directed,2030.0,1.120824669614916
GBR,government-directed,2030.0,1.1578364151203389
GRC,government-directed,2030.0,0.9968562144120783
HRV,government-directed,2030.0,0.9387367347062273
HUN,government-directed,2030.0,1.555153175945929
IRL,government-directed,2030.0,1.6358494668995827
ISL,government-directed,2030.0,1.1342156986538396
ITA,government-directed,2030.0,0.9950633290645199
LTU,government-directed,2030.0,1.0518484017516998
LUX,government-directed,2030.0,1.3755017484535552
LVA,government-directed,2030.0,1.0198145287095048
MKD,government-directed,2030.0,0.8569025886945043
MNE,government-directed,2030.0,1.2068988941498762
NLD,government-directed,2030.0,1.1314723774447877
NOR,government-directed,2030.0,1.125078833344596
POL,government-directed,2030.0,1.3499219741745518
PRT,government-directed,2030.0,1.059360291212183
ROU,government-directed,2030.0,1.4696882749347242
SRB,government-directed,2030.0,1.2084672079712329
SVK,government-directed,2030.0,1.324505893873371
SVN,government-directed,2030.0,1.3169781598784676
SWE,government-directed,2030.0,1.1910291134068856
ALB,government-directed,2050.0,2.140473892933498
AUT,government-directed,2050.0,0.9100152860708633
BEL,government-directed,2050.0,0.9764942867030759
BGR,government-directed,2050.0,1.4874965195566836
BIH,government-directed,2050.0,2.145176494462899
CHE,government-directed,2050.0,0.9153783538933234
CYP,government-directed,2050.0,2.5229935930640472
CZE,government-directed,2050.0,1.2925342802080713
DEU,government-directed,2050.0,0.9544845612216839
DNK,government-directed,2050.0,1.1585175083551884
ESP,government-directed,2050.0,1.8039231450092186
EST,government-directed,2050.0,1.7357637748990142
FIN,government-directed,2050.0,0.9518780634029518
FRA,government-directed,2050.0,1.1538954923538556
GBR,government-directed,2050.0,1.1123367937770416
GRC,government-directed,2050.0,1.4492164187174916
HRV,government-directed,2050.0,0.8961136737218104
HUN,government-directed,2050.0,4.380794346944417
IRL,government-directed,2050.0,1.702285790130876
ISL,government-directed,2050.0,1.2164138862857155
ITA,government-directed,2050.0,1.2211221545541002
LTU,government-directed,2050.0,1.1742653437500725
LUX,government-directed,2050.0,1.4418204558783743
LVA,government-directed,2050.0,1.2580534287562866
MKD,government-directed,2050.0,1.5170961654819966
MNE,government-directed,2050.0,2.133399758616578
