dataset,cat_name,id,end_use,year,scenario,0
heat_demand,commercial,ISL,cooking,2030.0,market-driven,0.9867850859012667
heat_demand,commercial,ITA,cooking,2030.0,market-driven,0.8757145504372128
heat_demand,commercial,LTU,cooking,2030.0,market-driven,1.073949347670757
heat_demand,commercial,LUX,cooking,2030.0,market-driven,1.0270758933088528
heat_demand,commercial,LVA,cooking,2030.0,market-driven,1.0726517627614662
heat_demand,commercial,MKD,cooking,2030.0,market-driven,0.9654322706191731
heat_demand,commercial,MNE,cooking,2030.0,market-driven,0.9654322706191731
heat_demand,commercial,NLD,cooking,2030.0,market-driven,0.9861244611794029
heat_demand,commercial,NOR,cooking,2030.0,market-driven,1.0532128856262817
heat_demand,commercial,POL,cooking,2030.0,market-driven,1.0651238746701033
heat_demand,commercial,PRT,cooking,2030.0,market-driven,0.8383378801793383
heat_demand,commercial,ROU,cooking,2030.0,market-driven,1.1236638473571263
heat_demand,commercial,SRB,cooking,2030.0,market-driven,0.9654322706191731
heat_demand,commercial,SVK,cooking,2030.0,market-driven,1.0421267635724014
heat_demand,commercial,SVN,cooking,2030.0,market-driven,1.019110048039914
heat_demand,commercial,SWE,cooking,2030.0,market-driven,1.0532128856262817
heat_demand,commercial,ALB,cooking,2030.0,neutral,0.9654322706191731
heat_demand,commercial,AUT,cooking,2030.0,neutral,1.0000766357152657
heat_demand,commercial,BEL,cooking,2030.0,neutral,0.8268908706728626
heat_demand,commercial,BGR,cooking,2030.0,neutral,0.8294515488060817
heat_demand,commercial,BIH,cooking,2030.0,neutral,0.9654322706191731
heat_demand,commercial,CHE,cooking,2030.0,neutral,1.0000766357152657
heat_demand,commercial,CYP,cooking,2030.0,neutral,0.7443422092150176
heat_demand,commercial,CZE,cooking,2030.0,neutral,1.0452081897209309
heat_demand,commercial,DEU,cooking,2030.0,neutral,0.9680039638523428
heat_demand,commercial,DNK,cooking,2030.0,neutral,1.0088380298911968
heat_demand,commercial,ESP,cooking,2030.0,neutral,0.961643655353677
heat_demand,commercial,EST,cooking,2030.0,neutral,1.1013105736356505
heat_demand,commercial,FIN,cooking,2030.0,neutral,0.9867850859012667
heat_demand,commercial,FRA,cooking,2030.0,neutral,0.9642056891499503
heat_demand,commercial,GBR,cooking,2030.0,neutral,0.9764354796648276
heat_demand,commercial,GRC,cooking,2030.0,neutral,0.848719328792253
heat_demand,commercial,HRV,cooking,2030.0,neutral,0.9456370263744174
heat_demand,commercial,HUN,cooking,2030.0,neutral,1.0796896017659872
heat_demand,commercial,IRL,cooking,2030.0,neutral,1.0285521178022394
heat_demand,commercial,ISL,cooking,2030.0,neutral,0.9867850859012667
heat_demand,commercial,ITA,cooking,2030.0,neutral,0.8757145504372128
heat_demand,commercial,LTU,cooking,2030.0,neutral,1.073949347670757
heat_demand,commercial,LUX,cooking,2030.0,neutral,1.0270758933088528
heat_demand,commercial,LVA,cooking,2030.0,neutral,1.0726517627614662
heat_demand,commercial,MKD,cooking,2030.0,neutral,0.9654322706191731
heat_demand,commercial,MNE,cooking,2030.0,neutral,0.9654322706191731
heat_demand,commercial,NLD,cooking,2030.0,neutral,0.9861244611794029
heat_demand,commercial,NOR,cooking,2030.0,neutral,1.0532128856262817
heat_demand,commercial,POL,cooking,2030.0,neutral,1.0651238746701033
heat_demand,commercial,PRT,cooking,2030.0,neutral,0.8383378801793383
heat_demand,commercial,ROU,cooking,2030.0,neutral,1.1236638473571263
heat_demand,commercial,SRB,cooking,2030.0,neutral,0.9654322706191731
heat_demand,commercial,SVK,cooking,2030.0,neutral,1.0421267635724014
heat_demand,commercial,SVN,cooking,2030.0,neutral,1.019110048039914
heat_demand,commercial,SWE,cooking,2030.0,neutral,1.0532128856262817
heat_demand,commercial,ALB,cooking,2030.0,people-powered,1.177970005994803
heat_demand,commercial,AUT,cooking,2030.0,people-powered,1.132700070235926
heat_demand,commercial,BEL,cooking,2030.0,people-powered,1.119681326779133
heat_demand,commercial,BGR,cooking,2030.0,people-powered,1.0908728185648278
heat_demand,commercial,BIH,cooking,2030.0,people-powered,1.177970005994803
heat_demand,commercial,CHE,cooking,2030.0,people-powered,1.132700070235926
heat_demand,commercial,CYP,cooking,2030.0,people-powered,1.168882296757644
heat_demand,commercial,CZE,cooking,2030.0,people-powered,1.2079815385286041
heat_demand,commercial,DEU,cooking,2030.0,people-powered,1.1079893232186147
heat_demand,commercial,DNK,cooking,2030.0,people-powered,1.2053143008391356
heat_demand,commercial,ESP,cooking,2030.0,people-powered,1.183821357388682
heat_demand,commercial,EST,cooking,2030.0,people-powered,1.276241771026528
heat_demand,commercial,FIN,cooking,2030.0,people-powered,1.1277376391556608
heat_demand,commercial,FRA,cooking,2030.0,people-powered,1.132770069944541
heat_demand,commercial,GBR,cooking,2030.0,people-powered,1.1162507162748936
heat_demand,commercial,GRC,cooking,2030.0,people-powered,1.1207104752499506
heat_demand,commercial,HRV,cooking,2030.0,people-powered,1.1004848277354318
heat_demand,commercial,HUN,cooking,2030.0,people-powered,1.260535911014585
heat_demand,commercial,IRL,cooking,2030.0,people-powered,1.2249951118247553
heat_demand,commercial,ISL,cooking,2030.0,people-powered,1.1277376391556608
heat_demand,commercial,ITA,cooking,2030.0,people-powered,1.0898610850709354
heat_demand,commercial,LTU,cooking,2030.0,people-powered,1.1974880218378827
heat_demand,commercial,LUX,cooking,2030.0,people-powered,1.2069996153154627
heat_demand,commercial,LVA,cooking,2030.0,people-powered,1.2021277811507625
heat_demand,commercial,MKD,cooking,2030.0,people-powered,1.177970005994803
heat_demand,commercial,MNE,cooking,2030.0,people-powered,1.177970005994803
heat_demand,commercial,NLD,cooking,2030.0,people-powered,1.109132553111285
heat_demand,commercial,NOR,cooking,2030.0,people-powered,1.2116358051828355
heat_demand,commercial,POL,cooking,2030.0,people-powered,1.240586565448977
