country_code,cat_name,end_use,carrier_name,0
DEU,household,space_heating,solar_thermal,0.21763330945149703
DEU,household,cooking,solar_thermal,0.0
DEU,household,water_heating,solid_fossil,0.0
DEU,household,space_heating,solid_fossil,7.23564433345954
DEU,household,cooking,solid_fossil,0.0
DNK,household,water_heating,biomass,0.9393402790889794
DNK,household,space_heating,biomass,8.694111828203052
DNK,household,cooking,biomass,0.0
DNK,household,water_heating,electricity,0.9196466888910229
DNK,household,space_heating,electricity,2.2806804543546346
DNK,household,cooking,electricity,1.2133159440314276
DNK,household,water_heating,heat,3.7803731150075097
DNK,household,space_heating,heat,14.393500281442439
DNK,household,cooking,heat,0.0
DNK,household,water_heating,natural_gas,1.3704592196905234
DNK,household,space_heating,natural_gas,5.838245277459027
DNK,household,cooking,natural_gas,0.031283692682808686
DNK,household,water_heating,oil,0.5804096819544318
DNK,household,space_heating,oil,2.3669470446990135
DNK,household,cooking,oil,0.0344497884584685
DNK,household,water_heating,other_renewable,0.0
DNK,household,space_heating,other_renewable,0.0
DNK,household,cooking,other_renewable,0.0
DNK,household,water_heating,solar_thermal,0.0852147779127608
DNK,household,space_heating,solar_thermal,0.024055391202738932
DNK,household,cooking,solar_thermal,0.0
DNK,household,water_heating,solid_fossil,0.0
DNK,household,space_heating,solid_fossil,0.0
DNK,household,cooking,solid_fossil,0.0
ESP,household,water_heating,biomass,1.0881623252700214
ESP,household,space_heating,biomass,27.046332137247347
ESP,household,cooking,biomass,0.29984562605376763
ESP,household,water_heating,electricity,3.683617251484873
ESP,household,space_heating,electricity,6.815152383161508
ESP,household,cooking,electricity,6.746096733407504
ESP,household,water_heating,heat,0.0
ESP,household,space_heating,heat,0.0
ESP,household,cooking,heat,0.0
ESP,household,water_heating,natural_gas,15.888297827998109
ESP,household,space_heating,natural_gas,27.160203446443138
ESP,household,cooking,natural_gas,5.415936100119517
ESP,household,water_heating,oil,29.196178175901167
ESP,household,space_heating,oil,1.2933614266938962
ESP,household,cooking,oil,0.0
ESP,household,water_heating,other_renewable,0.0
ESP,household,space_heating,other_renewable,0.0
ESP,household,cooking,other_renewable,0.0
ESP,household,water_heating,solar_thermal,2.086397272847366
ESP,household,space_heating,solar_thermal,0.36228727180206244
ESP,household,cooking,solar_thermal,0.0
ESP,household,water_heating,solid_fossil,0.19050322087325403
ESP,household,space_heating,solid_fossil,0.7282412840107024
ESP,household,cooking,solid_fossil,0.1312242052337663
EST,household,water_heating,biomass,0.21031367286142727
EST,household,space_heating,biomass,3.306018240767321
EST,household,cooking,biomass,0.12230669026919805
EST,household,water_heating,electricity,0.18923655534614744
EST,household,space_heating,electricity,1.0694313053915356
EST,household,cooking,electricity,0.42551068489754773
EST,household,water_heating,heat,0.3280828213924454
EST,household,space_heating,heat,2.6222059738222834
EST,household,cooking,heat,0.0
EST,household,water_heating,natural_gas,0.0701447533146506
EST,household,space_heating,natural_gas,0.40840579211051453
EST,household,cooking,natural_gas,0.08577362640346058
EST,household,water_heating,oil,0.010222298358299641
EST,household,space_heating,oil,0.028343495011536272
EST,household,cooking,oil,0.017441214467711734
EST,household,water_heating,other_renewable,0.0
EST,household,space_heating,other_renewable,0.0
EST,household,cooking,other_renewable,0.0
EST,household,water_heating,solar_thermal,0.0
EST,household,space_heating,solar_thermal,0.0
EST,household,cooking,solar_thermal,0.0
EST,household,water_heating,solid_fossil,0.005281979779547016
EST,household,space_heating,solid_fossil,0.08193484526522199
EST,household,cooking,solid_fossil,0.004604265884961257
FIN,household,water_heating,biomass,0.38913141492976616
FIN,household,space_heating,biomass,11.67381421270002
FIN,household,cooking,biomass,1.6200608618506034
FIN,household,water_heating,electricity,1.1656856497565733
FIN,household,space_heating,electricity,15.397664101845299
FIN,household,cooking,electricity,0.6304348791435743
FIN,household,water_heating,heat,1.750230436707084
FIN,household,space_heating,heat,15.42610170831415
FIN,household,cooking,heat,0.0
FIN,household,water_heating,natural_gas,0.0
FIN,household,space_heating,natural_gas,0.0
FIN,household,cooking,natural_gas,0.010294968967413541
FIN,household,water_heating,oil,0.5096643937083872
FIN,household,space_heating,oil,4.159031824305982
FIN,household,cooking,oil,0.0
FIN,household,water_heating,other_renewable,0.0
FIN,household,space_heating,other_renewable,0.0
FIN,household,cooking,other_renewable,0.0
FIN,household,water_heating,solar_thermal,0.0
FIN,household,space_heating,solar_thermal,0.0
FIN,household,cooking,solar_thermal,0.0
FIN,household,water_heating,solid_fossil,0.001685344397601856
FIN,household,space_heating,solid_fossil,0.040787786503192223
FIN,household,cooking,solid_fossil,0.0
FRA,household,water_heating,biomass,0.7183446780631821
FRA,household,space_heating,biomass,74.10753795782966
FRA,household,cooking,biomass,0.0
FRA,household,water_heating,electricity,13.31520158462642
FRA,household,space_heating,electricity,53.85041429806255
FRA,household,cooking,electricity,12.439878727385665
FRA,household,water_heating,heat,1.9157505766090506
FRA,household,space_heating,heat,11.032205986321179
FRA,household,cooking,heat,0.0
FRA,household,water_heating,natural_gas,11.202721450828527
FRA,household,space_heating,natural_gas,122.07517886949583
FRA,household,cooking,natural_gas,10.203749732503354
FRA,household,water_heating,oil,3.835459421245596
FRA,household,space_heating,oil,61.43014161701031
FRA,household,cooking,oil,5.270259056100041
FRA,household,water_heating,other_renewable,0.0
FRA,household,space_heating,other_renewable,0.0
FRA,household,cooking,other_renewable,0.0
FRA,household,water_heating,solar_thermal,0.38367017986104596
FRA,household,space_heating,solar_thermal,0.6953181166438205
FRA,household,cooking,solar_thermal,0.0
FRA,household,water_heating,solid_fossil,0.0363374304373099
FRA,household,space_heating,solid_fossil,1.7695778967607816
FRA,household,cooking,solid_fossil,0.0
GBR,household,water_heating,biomass,0.06677729512500806
GBR,household,space_heating,biomass,15.474222088859241
GBR,household,cooking,biomass,0.0
GBR,household,water_heating,electricity,14.574388786983386
GBR,household,space_heating,electricity,15.513893635049044
GBR,household,cooking,electricity,6.115161969846802
GBR,household,water_heating,heat,0.1417821331477766
GBR,household,space_heating,heat,0.4862705906432476
GBR,household,cooking,heat,0.0
GBR,household,water_heating,natural_gas,47.430740096438996
GBR,household,space_heating,natural_gas,213.6902290816406
GBR,household,cooking,natural_gas,5.854962096500379
GBR,household,water_heating,oil,7.270620099820794
GBR,household,space_heating,oil,23.04104164966503
GBR,household,cooking,oil,0.0
GBR,household,water_heating,other_renewable,0.0
GBR,household,space_heating,other_renewable,0.0
GBR,household,cooking,other_renewable,0.0
GBR,household,water_heating,solar_thermal,8.650780978537576e-06
GBR,household,space_heating,solar_thermal,1.349219021662425e-06
GBR,household,cooking,solar_thermal,0.0
GBR,household,water_heating,solid_fossil,0.8395286856279829
GBR,household,space_heating,solid_fossil,5.254089756147778
GBR,household,cooking,solid_fossil,0.0
GRC,household,water_heating,biomass,0.15848286982499626
GRC,household,space_heating,biomass,6.183468832357175
GRC,household,cooking,biomass,3.589310807641713
GRC,household,water_heating,electricity,1.1151644063562622
GRC,household,space_heating,electricity,3.064034027357578
GRC,household,cooking,electricity,7.4606450393473445
GRC,household,water_heating,heat,0.07877737842826396
GRC,household,space_heating,heat,0.4185592052603643
GRC,household,cooking,heat,0.0
GRC,household,water_heating,natural_gas,0.9983648989719086
GRC,household,space_heating,natural_gas,2.953771809870447
GRC,household,cooking,natural_gas,0.4096145596151496
GRC,household,water_heating,oil,3.485417191625439
GRC,household,space_heating,oil,14.822897369285254
GRC,household,cooking,oil,0.09626522296117038
GRC,household,water_heating,other_renewable,0.0
GRC,household,space_heating,other_renewable,0.0
GRC,household,cooking,other_renewable,0.0
GRC,household,water_heating,solar_thermal,1.4195597714967982
GRC,household,space_heating,solar_thermal,1.3388400486897685
GRC,household,cooking,solar_thermal,0.0
GRC,household,water_heating,solid_fossil,0.005203779753181647
GRC,household,space_heating,solid_fossil,0.016209073334733367
GRC,household,cooking,solid_fossil,0.01910334748002003
HRV,household,water_heating,biomass,0.4696539514011046
HRV,household,space_heating,biomass,12.368021447236956
HRV,household,cooking,biomass,0.43167003119181024
HRV,household,water_heating,electricity,0.9521790763557078
HRV,household,space_heating,electricity,0.3711261818897013
HRV,household,cooking,electricity,0.7453383817337389
HRV,household,water_heating,heat,0.3089517398943153
HRV,household,space_heating,heat,1.2000662889172113
HRV,household,cooking,heat,0.0
HRV,household,water_heating,natural_gas,0.885527980608398
HRV,household,space_heating,natural_gas,5.037127963640971
HRV,household,cooking,natural_gas,0.516759858281075
HRV,household,water_heating,oil,0.09049303935382502
HRV,household,space_heating,oil,1.2123095708685283
HRV,household,cooking,oil,0.22466680212347642
HRV,household,water_heating,other_renewable,0.0
HRV,household,space_heating,other_renewable,0.0
HRV,household,cooking,other_renewable,0.0
HRV,household,water_heating,solar_thermal,0.10024595371183675
HRV,household,space_heating,solar_thermal,0.018855833505450472
HRV,household,cooking,solar_thermal,0.0
HRV,household,water_heating,solid_fossil,0.0032667569551883087
HRV,household,space_heating,solid_fossil,0.04137596079706504
HRV,household,cooking,solid_fossil,0.0
HUN,household,water_heating,biomass,0.2682491418145925
HUN,household,space_heating,biomass,7.755175839192952
HUN,household,cooking,biomass,0.25198777779432197
HUN,household,water_heating,electricity,0.7907595328934415
HUN,household,space_heating,electricity,3.463664706599056
HUN,household,cooking,electricity,0.4057244221595326
HUN,household,water_heating,heat,0.5102268460172875
HUN,household,space_heating,heat,5.265398723310378
HUN,household,cooking,heat,0.0
HUN,household,water_heating,natural_gas,2.399224947891229
HUN,household,space_heating,natural_gas,27.91302094211225
HUN,household,cooking,natural_gas,1.5739496674498024
HUN,household,water_heating,oil,1.1194653299975201
HUN,household,space_heating,oil,0.0
HUN,household,cooking,oil,0.0
HUN,household,water_heating,other_renewable,0.0
HUN,household,space_heating,other_renewable,0.0
