Activity code,Description,Eurostat sector,Comment
4(b)(iv),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate",Chemicals Industry,
4(b)(v),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide",Chemicals Industry,
4(c),"Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)",Chemicals Industry,
4(d),Chemical installations for the production on an industrial scale of basic plant health products and of biocides,Chemicals Industry,
4(e),Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products,Chemicals Industry,
4(f),Installations for the production on an industrial scale of explosives and pyrotechnic products,Chemicals Industry,
6(a),Industrial plants for the production of pulp from timber or similar fibrous materials,"pulp, paper and printing",
6(b),"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)","pulp, paper and printing",
6(c),Industrial plants for the preservation of wood and wood products with chemicals,"pulp, paper and printing",
8(b),"Treatment and processing intended for the production of food and beverage products. Note to reporters, use Level 3 activity e.g. 8(b)(i), in preference to 8(b). Level 2 activity class (i.e. 8(b)) only to be used where Level 3 is not available.","Food, beverages and tobacco",
8(b)(i),Treatment and processing intended for the production of food and beverage products from animal raw materials (other than milk),"Food, beverages and tobacco",
8(b)(ii),Treatment and processing intended for the production of food and beverage products from vegetable raw materials,"Food, beverages and tobacco",
8(c),Treatment and processing of milk,"Food, beverages and tobacco",
9(a),"Plants for the pre-treatment (operations such as washing, bleaching, mercerisation) or dyeing of fibres or textiles",Textiles and leather,
9(b),Plants for the tanning of hides and skins,Textiles and leather,
9(c),"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",Other Industrial Sectors,
9(e),"Installations for the building of, and painting or removal of paint from ships with a capacity for ships 100 m long",Other Industrial Sectors,
,,,
Sources:,,,
activity codes,https://ec.europa.eu/clima/sites/clima/files/ets/registry/docs/compliance_2018_code_en.xlsx,,
,https://www.emissions-euets.com/attachments/166_ANNEX%20I%20TO%20%20DIRECTIVE%202003_87_EC.pdf,,
,https://www.eea.europa.eu/data-and-maps/data/industrial-reporting-under-the-industrial/database-structure-and-use-information/eprtr_lcp_metadata_v1/at_download/file,,
Eurostat sectors,https://ec.europa.eu/eurostat/documents/38154/4956218/ENERGY-BALANCE-GUIDE-DRAFT-31JANUARY2019.pdf/cf121393-919f-4b84-9059-cdf0f69ec045,,
,https://ec.europa.eu/eurostat/documents/3859598/5902521/KS-RA-07-015-EN.PDF,,
,https://ec.europa.eu/eurostat/documents/38154/4956218/Energy-Balance-Formulas.xlsx/cc2f9ade-5c0b-47b5-b83d-c05fe86eef6c,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
