,REGISTRY_COD,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,COMPLIANCE_CODE,COMPLIANCE_STATUS_LATEST_YEAR,TOTAL_VERIFIED_EMISSIONS,TOTAL_SURRENDERED_ALLOWANCES,YEAR_OF_FIRST_EMISSIONS,YEAR_OF_LAST_EMISSIONS,ACCOUNT_CLOSURE,url_id,lat,lon
10964,LV,Installation 36,36,LV-3-2008-2012,1,A,2018,9294,9294,2005,NOT SET,OPEN,101776,57.3193332,25.3065311
10965,LV,Installation 37,37,LV-9001-SEG-07-01,1,A,2013,0,0,2005,2013,08-JUL-2014,101777,56.9712796,23.1532064
10966,LV,Installation 38,38,LV-SEG-II-DP3,1,A,2018,81986,81986,2005,NOT SET,OPEN,101778,55.88333,26.53333
10967,LV,Installation 39,39,LV-SEG-II-DP1,1,A,2018,142732,142732,2005,NOT SET,OPEN,101779,55.8656754,26.5224139
10968,LV,Installation 40,40,LV-SEG-II-DP2,1,A,2018,60252,60252,2005,NOT SET,OPEN,101780,55.88333,26.53333
10969,LV,Installation 41,41,LV-RIT-R-II-SEG-01,99,C,2015,NOT CALCULATED,0,2005,2014,OPEN,101781,56.946,24.10589
10970,LV,Installation 42,42,LV-SEG-II-JP1,1,A,2018,7183,7183,2005,NOT SET,OPEN,101782,56.4906905,25.8953916
10971,LV,Installation 45,45,LV-1-2008-2012,1,A,2018,43980,43980,2005,NOT SET,OPEN,101785,57.5264682,25.3889624
10973,LV,Installation 48,48,LV-LIT-SEG-II-2,1,A,2018,104768,104768,2005,NOT SET,OPEN,101788,57.0,25.0
10974,LV,Installation 49,49,LV-LIT-SEG-II-1,1,A,2018,10471,10471,2005,NOT SET,OPEN,101789,56.5164584,21.0037182
10975,LV,Installation 50,50,LV-SEG-II-PR3,1,A,2018,25003,25003,2005,NOT SET,OPEN,101790,56.2780316,26.7211642
10977,LV,Installation 52,52,LV-RIT-20-II-SEG-10,1,A,2018,14490,14490,2005,NOT SET,OPEN,101792,56.86591139999999,24.374711
10978,LV,Installation 53,53,LV-RIT-R-II-SEG-13,99,A,2018,47123,47123,2005,NOT SET,OPEN,101793,56.9166688,24.1065805
10979,LV,Installation 54,54,LV-RIT-R-II-SEG-14,99,A,2018,11168,11168,2005,NOT SET,OPEN,101794,57.0,25.0
10981,LV,Installation 57,57,LV-2700-SEG-07-02,1,A,2018,90492,90492,2005,NOT SET,OPEN,101797,57.4017102,21.5543019
10982,LV,Installation 58,58,LV-7-2008-2012,9,A,2018,0,0,2005,NOT SET,OPEN,101798,57.23710759999999,25.0429818
10983,LV,Installation 59,59,LV-RIT-20-II-SEG-05,6,A,2018,14800,14800,2005,NOT SET,OPEN,101799,56.8446468,24.4260627
10984,LV,Installation 6,6,LV-RIT-R-II-SEG-06,1,A,2018,2015476,2015476,2005,NOT SET,OPEN,101746,56.9897231,24.1840052
10985,LV,Installation 60,60,LI12SG0006,32,A,2018,5296,5296,2005,NOT SET,OPEN,101800,57.0,25.0
10986,LV,Installation 61,61,LV-6-2008-2012,7,A,2018,177941,177941,2005,NOT SET,OPEN,101801,57.5256835,25.4530763
10987,LV,Installation 63,63,LV-2-2008-2012,32,A,2018,75641,75641,2005,NOT SET,OPEN,101803,57.3864843,25.4080196
10988,LV,Installation 65,65,LI12SG0002,24,A,2018,71191,71191,2005,NOT SET,OPEN,101805,56.5244904,21.0271047
10989,LV,Installation 69,69,LV-JET-SEG-II-08,32,A,2018,92074,92074,2005,NOT SET,OPEN,101809,56.6422874,23.806015
10990,LV,Installation 7,7,LV-RIT-R-II-SEG-07,1,A,2018,4233195,4233195,2005,NOT SET,OPEN,101747,56.9162467,24.2740274
10991,LV,Installation 8,8,LV-JET-SEG-II-04,1,A,2018,22831,22831,2005,NOT SET,OPEN,101748,56.65,23.71278
