,REGISTRY_COD,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,COMPLIANCE_CODE,COMPLIANCE_STATUS_LATEST_YEAR,TOTAL_VERIFIED_EMISSIONS,TOTAL_SURRENDERED_ALLOWANCES,YEAR_OF_FIRST_EMISSIONS,YEAR_OF_LAST_EMISSIONS,ACCOUNT_CLOSURE,url_id,lat,lon
34,AT,AMAG casting GmbH,201866,INE266,27,A,2018,364477,364477,2013,NOT SET,OPEN,108239.0,48.226968,13.0323229
35,AT,AMAG rolling GmbH,201868,INE265,28,A,2018,101978,101978,2013,NOT SET,OPEN,108240.0,48.226968,13.0323229
37,AT,Atmosa PSA,205426,ICH264,42,A,2018,170597,170597,2013,NOT SET,OPEN,111229.0,48.1277,16.4638
38,AT,Auersthal,206145,EVS228,99,A,2018,456520,456520,2013,NOT SET,OPEN,111628.0,48.36667,16.63333
40,AT,Baumit Baustoffe Bad Ischl,1,IKA119,30,A,2018,278527,278527,2005,NOT SET,OPEN,93714.0,47.7143986,13.6372787
41,AT,Bernegger Molln Ofen 1,213,IKA208,6,A,2018,0,0,2006,NOT SET,OPEN,93954.0,47.9062638,14.2481123
42,AT,Bernegger Molln Ofen 2,214,IKA244,6,A,2018,0,0,2006,NOT SET,OPEN,93955.0,47.9062638,14.2481123
43,AT,Bernegger Molln Ofen 3,215,IKA245,6,A,2018,0,0,2006,NOT SET,OPEN,93956.0,47.9062638,14.2481123
46,AT,Boehler Schmiedetechnik,205701,IES288,25,A,2018,89211,89212,2013,NOT SET,OPEN,111109.0,47.4438014,15.2854323
47,AT,Borealis Agrolinz Melamine Ammoniakanlage,205363,ICH226,41,A,2018,5143602,5143602,2013,NOT SET,OPEN,111111.0,48.2887055,14.3231985
48,AT,Borealis Agrolinz Melamine Salpetersäureanlage,236,ICH227,38,A,2018,275479,275479,2005,NOT SET,OPEN,93949.0,48.2887055,14.3231985
49,AT,Borealis Schwechat,118,ICH109,42,A,2018,83775,83775,2005,NOT SET,OPEN,93715.0,48.1386927,16.5085712
50,AT,Breitenfelder Edelstahl Mitterdorf,2,IES069,24,A,2018,117319,123705,2005,NOT SET,OPEN,93716.0,47.5345013,15.502833
51,AT,Brigl & Bergmeister Niklasdorf,158,IPA094,36,A,2018,22308,22308,2005,NOT SET,OPEN,93869.0,47.3969047,15.1512174
53,AT,Comelli Ziegel Kirchbach Maxendorf,174,IZI157,32,A,2018,35845,35845,2005,NOT SET,OPEN,93889.0,46.95086879999999,15.6828893
56,AT,Dynea Krems,53,ICH108,42,A,2018,111126,111126,2005,NOT SET,OPEN,93725.0,48.405595,15.6383002
58,AT,ESIM Chemicals GmbH,207647,ICH300,42,A,2018,280179,280179,2016,NOT SET,OPEN,113451.0,48.2887055,14.3231985
60,AT,EVN Baxter Krems,130,ICH115,1,C,2018,NOT CALCULATED,0,2005,NOT SET,OPEN,93836.0,48.4174,15.5625
73,AT,Ernstbrunner Kalktechnik Ernstbrunn,42,IKA118,30,A,2018,161844,161844,2005,NOT SET,OPEN,93734.0,48.5279292,16.3812032
74,AT,Essity Ortmann,169,IPA080,36,A,2018,433013,433013,2005,NOT SET,OPEN,93872.0,47.8948209,15.9717647
91,AT,Feinpapier Feurstein Traun,159,IPA096,36,A,2018,199984,199984,2005,NOT SET,OPEN,93859.0,48.218616,14.243137
92,AT,Frantschach St. Gertraud,160,IPA086,36,A,2018,250568,250568,2005,NOT SET,OPEN,93888.0,46.8627994,14.8640166
98,AT,Gmundner Zement Gmunden,31,IZE077,29,A,2018,1968431,1968431,2005,NOT SET,OPEN,93719.0,47.9167658,13.7707042
99,AT,Herbert Pexider GmbH Teufenbach,109,IZI137,32,A,2014,6821,6821,2005,2014,13-OCT-2015,93751.0,47.1307606,14.3602105
107,AT,Kalkwerk Tagger (Leube) Golling,203,IKA124,30,A,2018,387153,387153,2005,NOT SET,OPEN,93880.0,47.59712820000001,13.1679126
108,AT,Kalkwerk Wopfing,23,IKA121,30,A,2018,621758,621758,2005,NOT SET,OPEN,93809.0,47.87367949999999,16.085401
112,AT,Knauf Werk Weißenbach,205911,ISA273,34,A,2018,170896,170896,2013,NOT SET,OPEN,111670.0,47.5682273,14.2101975
115,AT,Lafarge Perlmooser Mannersdorf,63,IZE072,29,A,2018,3562006,3562006,2005,NOT SET,OPEN,93737.0,47.9828491,16.6096723
116,AT,Lafarge Perlmooser Retznei,61,IZE073,29,A,2018,1823252,1823252,2005,NOT SET,OPEN,93735.0,46.73538629999999,15.5725646
117,AT,Leitl Spannton Eferding,146,IZI149,32,A,2018,90105,90105,2005,NOT SET,OPEN,93853.0,48.2962226,14.0012555
118,AT,"Lenzing AG Faser+Energie 1, Zellstoff, Papier",147,ICH117,35,A,2018,1201491,1201491,2005,NOT SET,OPEN,93854.0,47.9785044,13.6159985
119,AT,Lenzing Papier GmbH,206157,IPA286,36,A,2018,8564,8564,2013,NOT SET,OPEN,111638.0,47.9753394,13.6153359
120,AT,Lias Fehring,121,ISA201,32,A,2018,17644,17644,2005,NOT SET,OPEN,93739.0,46.9393677,16.0185659
121,AT,M-real Hallein,120,IPA089,35,A,2018,7335,7335,2005,NOT SET,OPEN,93749.0,47.6752151,13.1104619
125,AT,Mayr Melnhof Karton Frohnleiten,125,IPA092,36,A,2018,787748,787748,2005,NOT SET,OPEN,93828.0,47.2804127,15.325763
126,AT,Mayr Melnhof Karton Hirschwang,124,IPA095,36,A,2018,158848,158848,2005,NOT SET,OPEN,93827.0,47.70287,15.81747
127,AT,Merckens Schwertberg,161,IPA098,35,A,2018,22481,22481,2005,NOT SET,OPEN,93901.0,48.2987988,14.5788369
128,AT,Mondi Packaging Frohnleiten,144,IPA093,36,A,2013,7995,7995,2005,2013,03-SEP-2014,93851.0,47.2850753,15.3118446
129,AT,Montanwerke Brixlegg AG,202677,INE269,28,A,2018,230750,230750,2013,NOT SET,OPEN,108271.0,47.4291882,11.8741683
130,AT,Nettingsdorfer Ansfelden,87,IPA090,36,A,2018,380736,380736,2005,NOT SET,OPEN,93750.0,48.1831442,14.2586082
131,AT,Neusiedler Hausmening,162,IPA083,36,A,2018,583392,583392,2005,NOT SET,OPEN,93877.0,48.0732286,14.8092237
132,AT,Neusiedler Kematen,163,IPA084,36,A,2018,164581,164581,2005,NOT SET,OPEN,93879.0,48.0294158,14.7675672
133,AT,Neusiedler Zellstoff Kematen,164,IPA085,35,A,2018,52127,52127,2005,NOT SET,OPEN,93878.0,48.0294158,14.7675672
134,AT,Norske Skog Bruck GmbH,126,IPA091,35,A,2018,1102519,1102519,2005,NOT SET,OPEN,93829.0,47.4177826,15.2781095
137,AT,Papierfabrik Hamburger Pitten,138,IPA082,36,A,2018,1038415,1038415,2005,NOT SET,OPEN,93844.0,47.7068986,16.1757995
138,AT,Papierfabrik Wattens,82,IPA079,36,A,2018,149809,149809,2005,NOT SET,OPEN,93763.0,47.2969101,11.5903649
139,AT,Profümed GmbH,166,IPA100,36,A,2018,27130,27130,2005,NOT SET,OPEN,93867.0,46.95,15.6333
143,AT,Raffinerie Schwechat,26,EMV061,21,A,2018,16691310,16691310,2005,NOT SET,OPEN,93746.0,48.1481771,16.4947191
144,AT,Rath GmbH Krummnußbaum,143,IFE129,32,A,2018,46513,46513,2005,NOT SET,OPEN,93850.0,48.2061257,15.1645718
146,AT,Rondo Ganahl Frastanz,167,IPA081,36,A,2018,142073,142073,2005,NOT SET,OPEN,93855.0,47.2183655,9.6391745
147,AT,SCA Laakirchen,168,IPA101,36,A,2018,13638,13638,2005,NOT SET,OPEN,93858.0,47.9794547,13.8165019
148,AT,Saint-Gobain Isover Austria,180,IGL181,31,A,2015,18356,18362,2005,2015,07-JUN-2016,93891.0,48.3912456,16.1896695
149,AT,"Saint-Gobian Rigips Austria GmbH, Werk Bad Aussee",201999,ISA271,34,A,2018,129364,129364,2013,NOT SET,OPEN,107964.0,47.5956301,13.7929345
153,AT,Sappi Gratkorn,110,IPA088,36,A,2018,2253839,2253839,2005,NOT SET,OPEN,93796.0,47.1341688,15.3365101
154,AT,Schretter & Cie (Kalk) Vils,173,IKA123,30,A,2018,218152,218152,2005,NOT SET,OPEN,93871.0,47.5490982,10.6397375
155,AT,Schretter & Cie (Zement) Vils,156,IZE071,29,A,2018,1027359,1027359,2005,NOT SET,OPEN,93870.0,47.5490982,10.6397375
156,AT,Schönkirchen-Reyersdorf,206144,EVS221,99,A,2018,203653,203653,2013,NOT SET,OPEN,111627.0,48.368652,16.6932383
158,AT,"Sinteranl., Hochöfen, Stahlwerk Donawitz",13,IVA065,24,A,2018,17479341,17479341,2005,NOT SET,OPEN,93804.0,47.3797905,15.0597356
163,AT,Stahlproduktion Böhler Edelstahl Kapfenberg,139,IES067,24,A,2018,760105,760105,2005,NOT SET,OPEN,93846.0,47.4439324,15.2856705
164,AT,Stahlwerk Marienhütte GmbH,155,IES070,24,A,2018,225009,225009,2005,NOT SET,OPEN,93897.0,47.0618256,15.4180074
165,AT,Steyrermühl AG Steyrermühl,171,IPA087,36,A,2018,470319,470319,2005,NOT SET,OPEN,93893.0,47.9909527,13.7987074
167,AT,Styromagnesit Steirische Magnesitindustrie GmbH,202778,IFE292,30,A,2018,213856,213856,2013,NOT SET,OPEN,109669.0,47.4705343,15.1145555
168,AT,Stölzle-Oberglas Köflach,182,IGL176,31,A,2018,289393,289393,2005,NOT SET,OPEN,93875.0,47.0672276,15.0788477
169,AT,Swarovski Wattens,64,IGL179,31,A,2018,72305,72305,2005,NOT SET,OPEN,93896.0,47.2955121,11.5940405
176,AT,Technoglas Voitsberg,183,IGL174,31,A,2018,41723,41723,2005,NOT SET,OPEN,93898.0,47.0418609,15.1519998
177,AT,Thann,206146,EVS220,99,A,2018,23721,23721,2013,NOT SET,OPEN,111629.0,48.11994259999999,14.4231061
178,AT,Tondach Gleinstätten,65,IZI131,32,A,2018,139871,139871,2005,NOT SET,OPEN,93757.0,46.7505312,15.3507306
179,AT,Tondach Pinkafeld,66,IZI139,32,A,2018,49314,49314,2005,NOT SET,OPEN,93760.0,47.3536399,16.1335326
180,AT,Tondach Unterpremstätten,67,IZI135,32,A,2015,0,0,2005,2015,06-JUL-2016,93761.0,46.9712273,15.3914182
181,AT,VOEST-Alpine Stahl Linz (Kalk) Steyrling,17,IKA120,30,A,2018,2089611,2089611,2005,NOT SET,OPEN,93819.0,48.2786073,14.3197919
182,AT,Veitsch-Radex Breitenau,77,IFE130,30,A,2018,1459357,1459357,2005,NOT SET,OPEN,93778.0,47.3897053,15.4378759
183,AT,Veitsch-Radex Hochfilzen,72,IFE126,30,A,2018,963344,963344,2005,NOT SET,OPEN,93767.0,47.4693113,12.6310584
184,AT,Veitsch-Radex Radenthein,73,IFE125,32,A,2018,443435,443435,2005,NOT SET,OPEN,93770.0,46.7987353,13.6964012
185,AT,Veitsch-Radex Trieben,74,IFE127,32,A,2018,115389,115389,2005,NOT SET,OPEN,93773.0,47.4880493,14.489416
186,AT,Veitsch-Radex Veitsch,75,IFE128,32,A,2018,68447,68447,2005,NOT SET,OPEN,93776.0,47.5637,15.5746
191,AT,Vetropack Kremsmünster,11,IGL172,31,A,2018,390264,390264,2005,NOT SET,OPEN,93798.0,48.0562713,14.1409959
192,AT,Vetropack Pöchlarn,10,IGL173,31,A,2018,340489,340489,2005,NOT SET,OPEN,93797.0,48.2068241,15.21864
193,AT,Voestalpine Stahl Linz,16,IVA062,24,A,2018,51766349,51766349,2005,NOT SET,OPEN,93817.0,48.2786073,14.3197919
197,AT,Wienerberger Fürstenfeld,115,IZI136,32,A,2018,24560,24560,2005,NOT SET,OPEN,93786.0,47.0508877,16.0672695
198,AT,Wienerberger Göllersdorf,112,IZI138,32,A,2018,112846,112846,2005,NOT SET,OPEN,93781.0,48.4974445,16.126174
199,AT,Wienerberger Helpfau Uttendorf,119,IZI140,32,A,2018,36257,36257,2005,NOT SET,OPEN,93780.0,48.1520624,13.1111051
200,AT,Wienerberger Hennersdorf,113,IZI132,32,A,2018,138539,138539,2005,NOT SET,OPEN,93782.0,48.1114064,16.3563506
201,AT,Wienerberger Knittelfeld (Apfelberg),111,IZI134,32,A,2018,69219,69219,2005,NOT SET,OPEN,93779.0,47.1985647,14.8397775
202,AT,Wienerberger Krengelbach Haiding,116,IZI133,32,A,2018,158489,158489,2005,NOT SET,OPEN,93784.0,48.0398,13.8824
203,AT,Wienerberger Rotenturm,117,IZI141,32,A,2018,10488,10488,2005,NOT SET,OPEN,93785.0,47.25,16.25
208,AT,Wietersdorfer & Peggauer (Kalk) Peggau,57,IKA122,30,A,2018,543666,543666,2005,NOT SET,OPEN,93806.0,47.214897,15.3446282
209,AT,Wietersdorfer & Peggauer Zement Peggau,56,IZE075,29,A,2018,0,0,2005,NOT SET,OPEN,93805.0,47.214897,15.3446282
210,AT,Wietersdorfer & Peggauer Zement Wietersdorf,55,IZE076,29,A,2018,2417310,2417310,2005,NOT SET,OPEN,93803.0,46.8478072,14.533187
211,AT,Zellstoff Pöls,172,IPA103,35,A,2018,292509,292509,2005,NOT SET,OPEN,93885.0,47.2161442,14.5906776
212,AT,Zementwerk Hofmann Kirchdorf,91,IZE074,29,A,2018,1245795,1245795,2005,NOT SET,OPEN,93731.0,47.907282,14.1173234
213,AT,Zementwerk Wopfing,24,IZE202,29,A,2018,1638285,1638285,2005,NOT SET,OPEN,93810.0,47.87367949999999,16.085401
214,AT,Zementwerke Leube Gartenau,157,IZE078,29,A,2018,1648151,1648151,2005,NOT SET,OPEN,93881.0,47.7271636,13.0418909
215,AT,Ziegelwerk Brenner Wirth St. Andrä,107,IZI151,32,A,2018,58307,58307,2005,NOT SET,OPEN,93807.0,46.74016,14.782166
216,AT,Ziegelwerk Danreiter Ried im Innkreis,3,IZI155,32,A,2018,20817,20817,2005,NOT SET,OPEN,93723.0,48.2192978,13.5057929
217,AT,Ziegelwerk Eberschwang,40,IZI158,32,A,2018,5110,5110,2005,NOT SET,OPEN,93811.0,48.1364222,13.5412776
218,AT,Ziegelwerk Eder Peuerbach Bruck,52,IZI143,32,A,2018,102223,102223,2005,NOT SET,OPEN,93813.0,48.3247988,13.7729222
219,AT,Ziegelwerk Eder Weibern,54,IZI144,32,A,2018,79143,79143,2005,NOT SET,OPEN,93814.0,48.17370890000001,13.692228
220,AT,Ziegelwerk Frixeder Senftenbach,88,IZI156,32,A,2018,80460,80460,2005,NOT SET,OPEN,93820.0,48.2707034,13.4192527
221,AT,Ziegelwerk Lizzi Erlach,30,IZI152,32,A,2018,4477,4477,2005,NOT SET,OPEN,93815.0,47.6631458,16.2784709
222,AT,Ziegelwerk Martin Pichler Aschach,7,IZI150,32,A,2018,50944,50944,2005,NOT SET,OPEN,93906.0,48.371804,14.0163896
223,AT,Ziegelwerk Obermair Neuhofen,141,IZI153,32,A,2018,9732,9732,2005,NOT SET,OPEN,93848.0,48.1484123,14.2186654
224,AT,Ziegelwerk Pichler Wels,22,IZI145,32,A,2018,104131,104131,2005,NOT SET,OPEN,93816.0,48.1938221,14.0299749
225,AT,Ziegelwerk Rhomberg-Dornbirn,178,IZI159,32,A,2018,24894,24894,2005,NOT SET,OPEN,93909.0,47.4345534,9.658780199999999
226,AT,voestalpine BÖHLER Bleche GmbH & Co KG,205668,IES285,25,A,2018,76918,76918,2013,NOT SET,OPEN,111040.0,47.6009401,15.6662317
227,AT,voestalpine Schienen GmbH,201690,IVA257,25,A,2018,299957,299957,2013,NOT SET,OPEN,109458.0,47.3797905,15.0597356
228,AT,voestalpine Tubulars GmbH & Co KG,202703,IVA259,25,A,2018,403981,403981,2013,NOT SET,OPEN,109759.0,47.49681409999999,15.4230294
229,AT,voestalpine Wire Rod Austria GmbH,201691,IVA258,25,A,2018,305579,305579,2013,NOT SET,OPEN,109411.0,47.3907908,15.0435
264,BE,3B-Fibreglass Battice,295,WAI084P018,31,A,2018,364868,364868,2005,NOT SET,OPEN,93976.0,50.6333,5.8
272,BE,AGC Flat Glass Europe Mol Plant,165,VL901,31,A,2018,586723,586723,2005,NOT SET,OPEN,94232.0,51.1929146,5.1631881
273,BE,AGC Flat Glass Europe Verre plat Moustier,166,WAI062P063,31,A,2018,2316835,2316835,2005,NOT SET,OPEN,94233.0,50.4480631,4.688242199999999
274,BE,AGC Flat Glass Roux,167,WAI063P120,31,A,2014,63744,63744,2005,2014,16-DEC-2015,94234.0,50.4497121,4.395475999999999
278,BE,ARCELORMITTAL - site de Ramet - IVOZ-RAMET,109,WAI149P045,25,A,2018,109806,109806,2005,NOT SET,OPEN,94176.0,50.5860208,5.4470021
286,BE,Ahlstrom-Munksjo Malmedy,183,WAI001P103,36,A,2018,36148,36148,2005,NOT SET,OPEN,94250.0,50.4177221,6.001934899999999
287,BE,Air Liquide Large Industry VTE Jupiter 1,205741,VL152A,43,A,2018,1970752,1970752,2013,NOT SET,OPEN,111009.0,51.3639105,4.2529356
288,BE,Air Liquide Large Industry VTE Jupiter 2,205743,VL152B,43,A,2018,1646840,1646840,2013,NOT SET,OPEN,111007.0,51.3639105,4.2529356
289,BE,Air Liquide Large Industry VTE Syngas 2,205742,VL152C,43,A,2015,42010,42010,2013,2015,20-JUN-2016,111008.0,51.3639105,4.2529356
292,BE,Aleris Aluminum Duffel bvba GIETERIJ,205440,VL509A,28,A,2018,77825,77825,2013,NOT SET,OPEN,110701.0,51.08665610000001,4.481207899999999
293,BE,Aleris Aluminum Duffel bvba WALSERIJ,205441,VL509B,28,A,2018,169059,169059,2013,NOT SET,OPEN,110702.0,51.08665610000001,4.481207899999999
297,BE,Ampe,134,VL716,32,A,2013,0,0,2005,2013,25-JUN-2014,94201.0,51.0077067,3.2351874
298,BE,Antwerp Polymers Plant,175,VL130,42,A,2018,190002,190002,2005,NOT SET,OPEN,94242.0,51.2347908,4.3278565
299,BE,Aperam Stainless Belgium,35,VL202,24,A,2018,943194,943194,2005,NOT SET,OPEN,94097.0,50.93913810000001,5.5063869
300,BE,Aperam Stainless Belgium S.A.,104,WAI313P150,24,A,2018,1093412,1093412,2005,NOT SET,OPEN,94171.0,50.4115644,4.5257201
301,BE,ArcelorMittal Gent 1,203912,VL201A,24,A,2018,25458764,25458764,2013,NOT SET,OPEN,109273.0,51.1836104,3.8313483
302,BE,ArcelorMittal Gent 2,203913,VL201B,24,A,2018,0,0,2013,NOT SET,OPEN,109272.0,51.1836104,3.8313483
303,BE,ArcelorMittal Liège Upstream Cokerie Seraing,114,WAI005P034,24,A,2014,186983,186983,2005,2014,16-DEC-2015,94181.0,50.6039751,5.5422391
306,BE,ArcelorMittal Liège Upstream Train à bandes Cherta,118,WAI008P040,24,A,2013,140,140,2005,2013,23-APR-2015,94185.0,50.6742315,5.6432623
307,BE,ArcelorMittal Ringmill Seraing,204,WAI169P053,25,A,2018,54423,54423,2005,NOT SET,OPEN,94271.0,50.6104776,5.5170105
308,BE,Argex,528,VL731,32,A,2018,349885,349885,2008,NOT SET,OPEN,94068.0,51.1908371,4.3240555
317,BE,Aurubis Belgium Olen,747,VL523,28,A,2018,244760,244760,2010,NOT SET,OPEN,94027.0,51.177797,4.8809732
320,BE,BASF Antwerpen - 127a,203830,VL127A,42,A,2018,18340654,18340654,2013,NOT SET,OPEN,109183.0,51.3639105,4.2529356
322,BE,BASF Antwerpen - 127d,203837,VL127D,42,A,2018,202650,202650,2013,NOT SET,OPEN,109196.0,51.3639105,4.2529356
323,BE,BASF Antwerpen - 127e,203833,VL127E,42,A,2018,527286,527286,2013,NOT SET,OPEN,109195.0,51.3639105,4.2529356
324,BE,BASF DOW HPPO Production BVBA,204158,VL163,42,A,2018,452390,452390,2013,NOT SET,OPEN,109605.0,51.3639105,4.2529356
327,BE,BP Chembel,124,VL105,42,A,2018,2173231,2173231,2005,NOT SET,OPEN,94191.0,51.11583719999999,4.9878626
328,BE,BPB Belgium,630,VL910,30,A,2018,212501,212501,2008,NOT SET,OPEN,94073.0,51.2700147,4.261079800000001
333,BE,Bekaert site Zwevegem,137,VL510,25,A,2018,139864,139864,2005,NOT SET,OPEN,94204.0,50.8147027,3.3391209
336,BE,Belref,196,WAI091P089,32,A,2017,16907,16907,2005,2017,11-OCT-2018,94263.0,50.4532278,3.8149016
338,BE,Borealis - Kallo,221,VL108,42,A,2018,1322741,1322741,2005,NOT SET,OPEN,94288.0,51.2686704,4.2697056
339,BE,Borealis Antwerpen,204193,VL109,42,A,2018,336,336,2013,NOT SET,OPEN,109671.0,51.232566,4.3184387
340,BE,Borealis Antwerpen NV - AntLD,205772,VL113,42,A,2018,30549,30549,2013,NOT SET,OPEN,111049.0,51.2344853,4.3187086
341,BE,Borealis Polymers - Beringen,281,VL107,42,A,2018,313833,313833,2005,NOT SET,OPEN,93962.0,51.0712404,5.1783687
343,BE,Burgo Ardennes Harnoncourt,270,WAI021P115,35,A,2018,682634,682634,2005,NOT SET,OPEN,94379.0,49.5505783,5.5040594
344,BE,CBR Cimenterie Antoing,25,WAI031P093,29,A,2018,3762536,3762536,2005,NOT SET,OPEN,94077.0,50.5738534,3.4442695
345,BE,CBR Cimenterie Harmignies,26,WAI032P105,29,A,2014,223984,223984,2005,2014,16-DEC-2015,94079.0,50.412578,4.018625699999999
346,BE,CBR Cimenterie Lixhe,27,WAI033P091,29,A,2018,5797151,5797151,2005,NOT SET,OPEN,94081.0,50.7590734,5.6701958
347,BE,CCB Cimenterie Gaurain,189,WAI034P080,29,A,2018,6845442,6845442,2005,NOT SET,OPEN,94256.0,50.5959744,3.4861512
356,BE,Carmeuse Four à chaux Aisemont,216,WAI023P013,30,A,2018,2803784,2803784,2005,NOT SET,OPEN,94283.0,50.40338999999999,4.633690000000001
357,BE,Carmeuse Four à chaux Moha,217,WAI024P012,30,A,2018,1564738,1564738,2005,NOT SET,OPEN,94284.0,50.5500248,5.2169357
358,BE,Carmeuse Four à chaux Seilles,218,WAI025P011,30,A,2018,175372,175372,2005,NOT SET,OPEN,94285.0,50.4972688,5.0818733
359,BE,Carsid_integrated steel plant_Marcinelle,288,WAI310P147,24,A,2014,0,0,2005,2014,16-DEC-2015,93969.0,50.4072566,4.438703800000001
367,BE,Covestro NV Business Unit Polycarbonates,203916,VL160B,42,A,2018,291707,291707,2013,NOT SET,OPEN,109281.0,51.2893656,4.3262959
368,BE,Covestro NV Business Unit Polyurethanes,203896,VL160A,42,A,2018,339970,339970,2013,NOT SET,OPEN,109271.0,51.2893656,4.3262959
370,BE,DUCATT NV,206066,VL905,31,A,2017,142741,142741,2013,2017,30-JUL-2018,111456.0,51.2178505,5.2872615
371,BE,Dakpannenfabriek Pottelberg,263,VL751,32,A,2018,132470,132470,2005,NOT SET,OPEN,94345.0,50.7679088,3.2247538
376,BE,Desimpel Kortemark,16,VL702,32,A,2018,155899,155899,2005,NOT SET,OPEN,94056.0,51.020241,3.0456696
377,BE,Desimpel-Terca Peruwelz,275,WAI039P121,32,A,2018,99688,99688,2005,NOT SET,OPEN,94404.0,50.50886360000001,3.6175994
378,BE,Desimpel-Terca Wanlin,18,WAI040P122,32,A,2013,1707,1707,2005,2013,23-APR-2015,94061.0,50.20178420000001,4.8934031
379,BE,Desta,100,VL712,32,A,2018,28555,28555,2005,NOT SET,OPEN,94167.0,51.4431923,4.7956442
381,BE,Duferco Belgium - Produits Longs La Louvière,180,WAI042P015,24,A,2014,4460,4460,2005,2014,16-DEC-2015,94247.0,50.4801927,4.171660399999999
382,BE,Dumoulin Bricks,202970,VL724,32,A,2018,135879,135879,2012,NOT SET,OPEN,108072.0,50.9111929,3.1410131
383,BE,Durobor Glassware,30,WAI046P114,31,A,2018,103403,103403,2005,NOT SET,OPEN,94087.0,50.5688414,4.0767726
384,BE,Dynea N.V.,205617,VL158,42,A,2018,25101,25101,2013,NOT SET,OPEN,110835.0,51.13721469999999,3.7908049
420,BE,Engineering Steel Belgium,274,WAI058P069,24,A,2016,21120,21120,2005,2016,23-OCT-2017,94398.0,50.6159872,5.521733300000001
421,BE,Essity Belgium,146,WAI099P008,36,A,2018,154689,154689,2005,NOT SET,OPEN,94213.0,50.59584359999999,5.891415599999999
422,BE,Esso Raffinaderij,176,VL193,21,A,2018,11528860,11528860,2005,NOT SET,OPEN,94243.0,51.2167,4.4167
424,BE,EuroChem Antwerpen N.V. - Salpeterzuur 2,205759,VL166B,38,A,2018,97220,97220,2013,NOT SET,OPEN,111004.0,51.3639105,4.2529356
425,BE,EuroChem Antwerpen N.V. - Salpeterzuur 3,205761,VL166C,38,A,2018,640345,640345,2013,NOT SET,OPEN,111002.0,51.3639105,4.2529356
426,BE,EuroChem Antwerpen N.V. - Salpeterzuur 4,205760,VL166D,38,A,2018,643988,643988,2013,NOT SET,OPEN,111003.0,51.3639105,4.2529356
428,BE,Eurogal,105,WAI150P046,25,A,2018,159639,159639,2005,NOT SET,OPEN,94172.0,50.5853086,5.439930899999999
429,BE,Evonik Antwerpen,152,VL123,42,A,2018,3172802,3172802,2005,NOT SET,OPEN,94219.0,51.3056724,4.3041462
432,BE,Ferbatil (API),106,WAI146P042,25,A,2018,182543,182543,2005,NOT SET,OPEN,94173.0,50.6164935,5.531509199999999
434,BE,Floren en Cie,98,VL718,32,A,2018,23786,23786,2005,NOT SET,OPEN,94165.0,51.3396486,4.6870731
444,BE,Galva prépeint - Flémalle,115,WAI085P043,25,A,2018,157820,157820,2005,NOT SET,OPEN,94182.0,50.5937467,5.463629399999999
446,BE,Gerresheimer Momignies,207,WAI082P019,31,A,2018,127437,127437,2005,NOT SET,OPEN,94274.0,50.0269282,4.1534544
450,BE,Gunvor Petroleum Antwerpen,126,VL191,21,A,2018,2826974,2826974,2005,NOT SET,OPEN,94193.0,51.3316862,4.2867485
451,BE,Holcim Cimenterie Obourg,242,WAI067P072,29,A,2018,5389386,5389386,2005,NOT SET,OPEN,94309.0,50.4723368,3.9975444
454,BE,INEOS Styrolution Belgium,204109,VL164,42,A,2018,658021,658021,2013,NOT SET,OPEN,109540.0,51.3639105,4.2529356
455,BE,INOVYN BELGIUM,205667,VL116,42,A,2018,99277,99277,2013,NOT SET,OPEN,110992.0,51.3548035,4.2728465
457,BE,INOVYN Jemeppe,62,WAI104P009,42,A,2018,483524,483524,2005,NOT SET,OPEN,94129.0,50.447332,4.6582643
459,BE,Imerys Graphite & Carbon Belgium,206955,VL169,37,A,2018,215242,215242,2014,NOT SET,OPEN,112571.0,51.06999099999999,4.3489083
462,BE,Industeel Acierie Electrique,194,WAI068P102,24,A,2018,623844,623844,2005,NOT SET,OPEN,94261.0,50.4080677,4.4183667
463,BE,Ineos,276,VL138,42,A,2018,1258485,1258485,2005,NOT SET,OPEN,94409.0,51.232566,4.3184387
465,BE,Ineos Feluy,125,WAI020P079,42,A,2018,713235,713235,2005,NOT SET,OPEN,94192.0,50.5607357,4.2166518
467,BE,Ineos Phenol,260,VL139,42,A,2018,1291807,1291807,2005,NOT SET,OPEN,94339.0,51.2908962,4.2723796
474,BE,Kaneka Belgium,157,VL125,42,A,2018,211078,211078,2005,NOT SET,OPEN,94224.0,51.138602,4.9219096
475,BE,Kessales,108,WAI147P041,25,A,2018,164296,164296,2005,NOT SET,OPEN,94175.0,50.6135927,5.499179499999999
476,BE,Knauf Visé,294,WAI071P006,33,A,2018,204460,204460,2005,NOT SET,OPEN,93975.0,50.74847,5.70534
483,BE,Lanxess - Kallo (linkeroever),319,VL106B,42,A,2018,462979,462979,2005,NOT SET,OPEN,94000.0,51.26768569999999,4.2945699
484,BE,Lanxess - Lillo (rechteroever),320,VL106A,42,A,2018,658976,658976,2005,NOT SET,OPEN,94001.0,51.2893656,4.3262959
488,BE,MD Verre,296,WAI078P101,31,A,2018,361530,361530,2005,NOT SET,OPEN,93977.0,50.4741571,3.8935717
