"SiteID";"CompanyName";"SiteName";"Address";"CityCode";"City";"Country";"geom";"Subsector";"DataSource";"Emissions_ETS_2014";"Emissions_EPRTR_2014";"Production";"Fuel_Demand";"Excess_Heat_100-200C";"Excess_Heat_200-500C";"Excess_Heat_500C";"Excess_Heat_Total"
1;"voestalpine AG";"voestalpine Stahl Donawitz GesmbH";"Kerpelystrasse 199";"8700";"Leoben";"Austria";"SRID=4326;POINT(15.067806 47.03378)";"Iron and steel";"ETS/EPRTR";2808536.00;2810000.00;2726675.56;6346.15;192.34;173.66;0.00;366.01
2;"voestalpine AG";"voestalpine Stahl GmbH";"voestalpine-Strasse 3";"4020";"Linz";"Austria";"SRID=4326;POINT(14.343056 48.281944)";"Iron and steel";"ETS/EPRTR";8698426.00;8660000.00;8444892.86;19732.48;595.71;330.48;40.16;966.36
3;"Schmid Industrieholding";"Wopfinger Baustoffindustrie";"Wopfing 156";"2754";"Waldegg";"Austria";"SRID=4326;POINT(16.085917 47.87225)";"Cement";"ETS/EPRTR";364798.00;408000.00;477398.78;464.13;0.00;69.62;0.00;69.62
4;"OMV Refining and Marketing GmbH";"OMV Refining and Marketing GmbH";"Mannswörther Strasse 28";"2320";"Schwechat";"Austria";"SRID=4326;POINT(16.493889 48.144722)";"Refineries";"ETS/EPRTR";2713186.00;2710000.00;;;0.00;0.00;0.00;0.00
5;"Zementwerk Hatschek GmbH";"Zementwerk Hatschek GmbH";"Hatschekstrasse 25";"4810";"Gmunden";"Austria";"SRID=4326;POINT(13.778 47.92278)";"Cement";"ETS/EPRTR";331127.00;348000.00;607683.04;590.80;0.00;88.62;0.00;88.62
6;"w&p GmbH";"w&p Zement GmbH";"Wietersdorf 1";"9373";"Klein St. Paul";"Austria";"SRID=4326;POINT(14.533056 46.850555)";"Cement";"ETS/EPRTR";397425.00;;729352.88;709.09;0.00;106.36;0.00;106.36
7;"w&p GmbH";"w&p Zement GmbH";"Alois Kern Strasse 1";"8120";"Peggau";"Austria";"SRID=4326;POINT(15.345833 47.212776)";"Cement";"ETS/EPRTR";89812.00;;;;0.00;0.00;0.00;0.00
8;"Lafarge SA";"Lafarge Zementwerke GmbH";"Retznei 34";"8461";"Retznei";"Austria";"SRID=4326;POINT(15.58 46.728058)";"Cement";"ETS/EPRTR";269972.00;302000.00;495451.61;481.68;0.00;72.25;0.00;72.25
9;"Lafarge SA";"Lafarge Zementwerke GmbH";"Wienerstrasse 10";"2452";"Mannersdorf";"Austria";"SRID=4326;POINT(16.6 47.983334)";"Cement";"ETS/EPRTR";594014.00;594000.00;1090132.28;1059.85;0.00;158.97;0.00;158.97
10;"Nettingsdorfer Service Center";"Nettingsdorfer Papierfabrik AG & Co KG";"Nettingsdorfer Strasse 40";"4053";"Haid beiAnsfelden";"Austria";"SRID=4326;POINT(14.256111 48.183056)";"Paper and printing";"ETS/EPRTR";67692.00;;;;0.00;0.00;0.00;0.00
11;"Kirchdorfer Zementbeteiligungs G";"Kirchdorfer Zementwerk Hofmann GmbH";"Hofmannstrasse 4";"4560";"Kirchdorf an der Krems";"Austria";"SRID=4326;POINT(14.117556 47.907205)";"Cement";"ETS/EPRTR";203595.00;204000.00;373636.78;363.25;0.00;54.48;0.00;54.48
12;"Sappi Papier Holding GmbH";"Sappi Austria Produktions-GmbH & Co. KG";"Brucker Strasse 21";"8101";"Gratkorn";"Austria";"SRID=4326;POINT(15.334056 47.13411)";"Paper and printing";"ETS/EPRTR";322366.00;869000.00;;;0.00;0.00;0.00;0.00
13;"Borealis AG";"Borealis Polyolefine GmbH";"Danubiastrasse 21-25";"2320";"Schwechat";"Austria";"SRID=4326;POINT(16.520111 48.136)";"Chemical industry";"ETS/EPRTR";14510.00;;;;0.00;0.00;0.00;0.00
14;"SPB-Beteligungsgesellschaft";"Schweighofer Fiber GmbH";"Salzachtalstrasse 88";"5400";"Hallein";"Austria";"SRID=4326;POINT(13.108722 47.67575)";"Paper and printing";"ETS/EPRTR";1227.00;417000.00;;;0.00;0.00;0.00;0.00
15;"Mayr-Melnhof Karton AG";"Mayr-Melnhof Karton Gesellschaft m.b.H.";"Wannersdorf 80";"8130";"Frohnleiten";"Austria";"SRID=4326;POINT(15.328056 47.278057)";"Paper and printing";"ETS/EPRTR";123161.00;128000.00;;;0.00;0.00;0.00;0.00
16;"Norske Skogindustrier ASA";"Norske Skog Bruck GmbH";"Fabriksgasse 10";"8600";"Bruck an der Mur";"Austria";"SRID=4326;POINT(15.277111 47.416862)";"Paper and printing";"ETS/EPRTR";181184.00;265000.00;;;0.00;0.00;0.00;0.00
17;"Prinzhorn Holding";"W. Hamburger GmbH";"Aspanger Strasse 252";"2823";"Pitten";"Austria";"SRID=4326;POINT(16.133333 47.683334)";"Paper and printing";"ETS/EPRTR";169934.00;199000.00;;;0.00;0.00;0.00;0.00
18;"Schretter & CIE GmbH & Co KG";"SCHRETTER & CIE GmbH & Co KG";"Bahnhofstrasse 27";"6682";"Vils";"Austria";"SRID=4326;POINT(10.637861 47.55153)";"Cement";"ETS/EPRTR";196542.00;;294321.43;286.14;0.00;42.92;0.00;42.92
19;;"Zementwerk Leube GmbH";"Gartenauerplatz 9";"5083";"St. Leonhard";"Austria";"SRID=4326;POINT(13.052528 47.721443)";"Cement";"ETS/EPRTR";245218.00;271000.00;450023.16;437.52;0.00;65.62;0.00;65.62
20;"Mondi Group";"Mondi Frantschach GmbH";"Frantschach 5";"9413";"St. Gertraud";"Austria";"SRID=4326;POINT(14.86525 46.86222)";"Paper and printing";"ETS/EPRTR";34271.00;795000.00;;;0.00;0.00;0.00;0.00
21;"Mondi";"Mondi Neusiedler GmbH";"Theresienthalstrasse 50";"3363";"Ulmerfeld-Hausmening";"Austria";"SRID=4326;POINT(14.808229 48.070251)";"Paper and printing";"ETS/EPRTR";94585.00;;;;0.00;0.00;0.00;0.00
22;"Mondi Neusiedler GmbH";"Ybbstaler Zellstoff GmbH";"3. Strasse 1";"3331";"Kematen";"Austria";"SRID=4326;POINT(14.753333 48.022778)";"Paper and printing";"ETS/EPRTR";37376.00;;;;0.00;0.00;0.00;0.00
23;"UPM Kymmene";"UPM Kymmene Austria GmbH";"Fabriksplatz 1";"4662";"Steyrermühl";"Austria";"SRID=4326;POINT(13.816667 47.983334)";"Paper and printing";"ETS/EPRTR";79249.00;;;;0.00;0.00;0.00;0.00
24;"Heinzel AG";"Zellstoff Pöls Aktiengesellschaft";"Dr. Luigi Angeli Strasse 9";"8761";"Pöls";"Austria";"SRID=4326;POINT(14.590389 47.2175)";"Paper and printing";"ETS/EPRTR";37071.00;668000.00;;;0.00;0.00;0.00;0.00
25;;"Zementwerk Leube GmbH";"Taggerstrasse 72";"5440";"Golling";"Austria";"SRID=4326;POINT(13.17725 47.57711)";"Cement";"ETS/EPRTR";60564.00;;;;0.00;0.00;0.00;0.00
26;"Borealis AG";"Borealis Agrolinz Melamine GmbH";"St.-Peter-Strasse 25";"4020";"Linz";"Austria";"SRID=4326;POINT(14.035333 48.01786)";"Chemical industry";"ETS/EPRTR";972623.00;;;;0.00;0.00;0.00;0.00
27;"S.A. Cimenteries CBR";"CBR sa - Site d'Antoing";"RUE DU COUCOU 8";"7640";"Antoing";"Belgium";"SRID=4326;POINT(3.4426 50.576)";"Cement";"ETS/EPRTR";642502.00;;851461.22;827.80;0.00;124.17;0.00;124.17
28;"S.A. Cimenteries CBR";"CBR sa - Site d'Harmignies";"RUE BLANCART 3";"7022";"Harmignies";"Belgium";"SRID=4326;POINT(4.0166 50.4168)";"Cement";"ETS/EPRTR";80830.00;;;;0.00;0.00;0.00;0.00
29;"S.A. Cimenteries CBR";"CBR sa - Site de Lixhe";"RUE DES TROIS FERMES";"4600";"Visé";"Belgium";"SRID=4326;POINT(5.6725 50.7602)";"Cement";"ETS/EPRTR";987407.00;;1308538.77;1272.19;0.00;190.82;0.00;190.82
30;"APERAM STAINLESS BELGIUM";"APERAM STAINLESS BELGIUM";"Swinnenwijerweg,INDUSTRIEZONE GENK-ZUID: ZONE 6A, 3600 GENK 5";"3600";"Genk";"Belgium";"SRID=4326;POINT(5.499037 50.938103)";"Iron and steel";"ETS/EPRTR";144793.00;147000.00;349085.35;69.33;0.00;20.80;12.48;33.28
31;"Groupe Lhoist";"LHOIST INDUSTRIE sa - Site de On";"USINE DE ON";"6900";"Marche-en-Famenne";"Belgium";"SRID=4326;POINT(5.268 50.1649)";"Cement";"ETS/EPRTR";454131.00;;573391.35;557.46;0.00;83.61;0.00;83.61
32;"Saint-Gobain";"SAINT-GOBAIN GLASS sa";"RUE DES GLACES NATIONALES 169";"5060";"Auvelais";"Belgium";"SRID=4326;POINT(4.6163 50.4499)";"Glass";"ETS/EPRTR";;;;;0.00;0.00;0.00;0.00
33;"Aperam Stainless Belgium SA";"APERAM STAINLESS BELGIUM SA";"RUE DES ATELIERS 14";"6200";"Châtelet";"Belgium";"SRID=4326;POINT(4.5355 50.416)";"Iron and steel";"ETS/EPRTR";168743.00;;406827.05;80.80;0.00;24.24;14.54;38.78
34;"ARCELORMITTAL";"ARCELORMITTAL LIEGE sa (COKE-FONTE)";"PLACE DES HAUTS FOURNEAUX";"4102";"Ougrée";"Belgium";"SRID=4326;POINT(5.5494 50.6045)";"Iron and steel";"ETS/EPRTR";57709.00;;139132.18;;0.00;0.00;0.00;0.00
35;"ARCELORMITTAL";"ARCELORMITTAL BELGIUM - Chertal (Aciérie, CC, Laminoir à chaud)";"PONT DE WANDRE";"4683";"Vivegnis";"Belgium";"SRID=4326;POINT(5.6631 50.6934)";"Iron and steel";"ETS/EPRTR";;;;;0.00;0.00;0.00;0.00
36;"Carrière et Fours à Chaux Dumont-Wautier S.A.";"CARRIERES ET FOURS A CHAUX DUMONT WAUTIER SA";"RUE MALLIEUE 95";"4470";"St Georges";"Belgium";"SRID=4326;POINT(5.3703 50.5705)";"Cement";"ETS/EPRTR";1118836.00;;1412656.02;1373.41;0.00;206.01;0.00;206.01
37;"INDEPENDENT BELGIAN REFINERY";"INDEPENDENT BELGIAN REFINERY";"Scheldelaan 490";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.2781467 51.340908)";"Refineries";"ETS/EPRTR";498625.00;448000.00;;;0.00;0.00;0.00;0.00
38;"TOTAL RAFFINADERIJ ANTWERPEN";"TOTAL RAFFINADERIJ ANTWERPEN";"Scheldelaan 16";"2030";"Antwerpen";"Belgium";"SRID=4326;POINT(4.3216605 51.26745)";"Refineries";"ETS/EPRTR";3621037.00;3620000.00;;;0.00;0.00;0.00;0.00
39;"AGC GLASS EUROPE sa";"AGC GLASS EUROPE - Site de Moustier (ex-GLAVERBEL sa)";"RUE DE LA GLACERIE 167";"5190";"Moustier-sur-Sambre";"Belgium";"SRID=4326;POINT(4.6926 50.4475)";"Glass";"ETS/EPRTR";371132.00;;378906.86;1149.35;0.00;0.00;229.87;229.87
40;"EXXONMOBIL PETROLEUM & CHEMICAL";"ESSO RAFFINADERIJ";"Polderdijkweg,Haven 447 3";"2030";"Antwerpen";"Belgium";"SRID=4326;POINT(4.338689 51.25771)";"Refineries";"ETS/EPRTR";2017865.00;2020000.00;;;0.00;0.00;0.00;0.00
41;"STORA ENSO LANGERBRUGGE";"STORA ENSO LANGERBRUGGE";"Wondelgemkaai 200";"9000";"Gent";"Belgium";"SRID=4326;POINT(3.7326386 51.107063)";"Paper and printing";"ETS/EPRTR";117126.00;679000.00;340544.18;520.27;52.02;0.00;0.00;52.02
42;"DUFERCO LA LOUVIERE s.a.";"DUFERCO LA LOUVIERE sa";"RUE DES RIVAUX 2";"7100";"La Louvière";"Belgium";"SRID=4326;POINT(4.1789 50.4829)";"Iron and steel";"ETS/EPRTR";113236.00;;273003.72;;0.00;0.00;0.00;0.00
43;"CCB Italcementi-Group";"CCB sa - Site de Gaurain-Ramecroix";"GRAND'ROUTE 260";"7530";"Gaurain";"Belgium";"SRID=4326;POINT(3.4878 50.6004)";"Cement";"ETS/EPRTR";1302434.00;;1644469.10;1598.78;0.00;239.81;0.00;239.81
44;"SAPPI LANAKEN";"SAPPI LANAKEN";"Montaigneweg 2";"3620";"Lanaken";"Belgium";"SRID=4326;POINT(5.640663 50.88148)";"Paper and printing";"ETS/EPRTR";153641.00;164000.00;446711.65;682.47;68.24;0.00;0.00;68.24
45;"INDUSTEEL BELGIUM S.A.";"INDUSTEEL BELGIUM S.A.";"RUE DE CHATELET 266";"6030";"Charleroi";"Belgium";"SRID=4326;POINT(4.4111 50.4099)";"Iron and steel";"ETS/EPRTR";96921.00;;233669.45;46.41;0.00;13.92;8.35;22.27
46;"DOLOMIES DE MARCHE-LES-DAMES";"DOLOMIES DE MARCHE-LES-DAMES sa";"RUE HAIGNEAUX 1";"5300";"Namêche";"Belgium";"SRID=4326;POINT(4.979 50.4786)";"Cement";"ETS/EPRTR";251049.00;;316977.54;308.17;0.00;46.22;0.00;46.22
47;"S.A. CARMEUSE";"CARMEUSE sa - Site d'Aisemont";"RUE DE BOUDJESSE 1";"5070";"Aisemont";"Belgium";"SRID=4326;POINT(4.6417 50.4096)";"Cement";"ETS/EPRTR";472153.00;;596146.15;579.58;0.00;86.93;0.00;86.93
48;"S.A. CARMEUSE";"CARMEUSE sa - Site de Moha";"RUE DU VAL NOTRE DAME 300";"4520";"Wanze";"Belgium";"SRID=4326;POINT(5.1791 50.5571)";"Cement";"ETS/EPRTR";299355.00;;377969.28;367.47;0.00;55.12;0.00;55.12
49;"THY-MARCINELLE";"THY MARCINELLE sa";"RUE DE L'ACIER 1";"6000";"Charleroi";"Belgium";"SRID=4326;POINT(4.4312 50.4099)";"Iron and steel";"ETS/EPRTR";95124.00;;229337.01;45.55;0.00;13.66;8.19;21.86
50;"Holcim Belgique sa";"HOLCIM Belgique sa - Usine d'OBOURG";"RUE DES FABRIQUES 2";"7034";"Obourg";"Belgium";"SRID=4326;POINT(3.9939 50.4723)";"Cement";"ETS/EPRTR";986622.00;;1245721.01;1211.11;0.00;181.66;0.00;181.66
51;"Burgo Ardennes";"BURGO ARDENNES sa";"RUE DE LA PAPETERIE 1";"6760";"Harnoncourt";"Belgium";"SRID=4326;POINT(5.5042 49.5499)";"Paper and printing";"ETS/EPRTR";93352.00;;271421.21;414.67;41.46;0.00;0.00;41.46
52;"OUDEGEM PAPIER";"OUDEGEM PAPIER";"Oude baan 120";"9200";"Dendermonde";"Belgium";"SRID=4326;POINT(4.064485 51.012486)";"Paper and printing";"ETS/EPRTR";208374.00;208000.00;605848.01;925.60;92.56;0.00;0.00;92.56
53;"CARSID S.A.";"CARSID S.A. (coke-fonte /Aciérie-CC)";"RUE DE MARCHIENNE 42";"6001";"Marcinelle";"Belgium";"SRID=4326;POINT(4.4231 50.4093)";"Iron and steel";"ETS/EPRTR";;;;;0.00;0.00;0.00;0.00
54;"B.A.S.F. ANTWERPEN";"BASF ANTWERPEN";"Scheldelaan,Haven 725 600";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.267469 51.355602)";"Chemical industry";"ETS/EPRTR";35422.00;3113376.00;;;0.00;0.00;0.00;0.00
55;"BAYER ANTWERPEN";"BAYER ANTWERPEN";"Scheldelaan 420";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.2788363 51.34265)";"Chemical industry";"ETS/EPRTR";60554.00;;;;0.00;0.00;0.00;0.00
56;"ARCELORMITTAL BELGIUM";"ARCELORMITTAL BELGIUM - GENT";"John Kennedylaan 51";"9042";"Gent";"Belgium";"SRID=4326;POINT(3.8143601 51.176716)";"Iron and steel";"ETS/EPRTR";4053039.00;3690000.00;9771581.12;27343.49;764.10;1106.20;48.11;1918.42
57;"STYROLUTION BELGIUM";"STYROLUTION BELGIUM";"Scheldelaan,HAVEN 725 600";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.2673345 51.35627)";"Chemical industry";"ETS/EPRTR";112505.00;;;;0.00;0.00;0.00;0.00
58;"DOW BELGIUM";"DOW BELGIUM";"Havenlaan   7";"3980";"Tessenderlo";"Belgium";"SRID=4326;POINT(5.164313 51.06731)";"Chemical industry";"ETS/EPRTR";8701.00;;;;0.00;0.00;0.00;0.00
59;"SOLVIN";"SOLVIN";"Scheldelaan 600";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.267469 51.355602)";"Chemical industry";"ETS/EPRTR";16562.00;;;;0.00;0.00;0.00;0.00
60;"AIR LIQUIDE LARGE INDUSTRY";"AIR LIQUIDE LARGE INDUSTRY";"Scheldelaan,Blokvelden G600 en E650 600";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.267469 51.355602)";"Chemical industry";"ETS/EPRTR";509127.00;477000.00;;;0.00;0.00;0.00;0.00
61;"EUROCHEM ANTWERPEN";"EUROCHEM ANTWERPEN";"Scheldelaan,Haven 725 600";"2040";"Antwerpen";"Belgium";"SRID=4326;POINT(4.2766933 51.33997)";"Chemical industry";"ETS/EPRTR";311039.00;318860.00;;;0.00;0.00;0.00;0.00
62;"INEOS CHLORVINYLS BELGIUM";"INEOS CHLORVINYLS BELGIUM";"H. Hartlaan 21";"3980";"Tessenderlo";"Belgium";"SRID=4326;POINT(5.0924473 51.0586)";"Chemical industry";"ETS/EPRTR";1082.00;174000.00;;;0.00;0.00;0.00;0.00
63;"TRAKIA GLAS BULGARIA";"Trakia Glas Balgaria EAD";"kv.""Vabel"", Industrialna zona";"7700";"Targovichte";"Bulgaria";"SRID=4326;POINT(26.519583 43.275276)";"Glass";"ETS/EPRTR";231410.00;617000.00;209875.00;636.62;0.00;0.00;127.32;127.32
64;"HOLSIM BULGARIA";"Ploshtadka Beli Izvor";"s. Beli izvor";"3040";"Beli Izvor";"Bulgaria";"SRID=4326;POINT(23.463966 43.28318)";"Cement";"ETS/EPRTR";383494.00;383000.00;1022366.34;993.96;0.00;149.09;0.00;149.09
65;"ZLATNA PANEGA TSIMENT";"Zlatna Panega Tsiment AD";"Shipka 2";"5760";"Zlatna Panega";"Bulgaria";"SRID=4326;POINT(24.170937 43.088184)";"Cement";"ETS/EPRTR";386220.00;386000.00;1029633.65;1001.03;0.00;150.15;0.00;150.15
66;"AGROPOLIHIM";"Agropolihim AD";"Industrialna zona";"9160";"Devnya";"Bulgaria";"SRID=4326;POINT(27.660154 43.20079)";"Chemical industry";"ETS/EPRTR";491840.00;491832.00;;;0.00;0.00;0.00;0.00
67;"SVILOZA";"Instalatsia za proizvodstvo na sulfatno izbelena tseluloza ot shirokolistna darvesina (Zavod za tseluloza), Elektrolizna instalatsia za proizvodstvo na natriev hlorat";"Zapadna industrialna zona Свилоза";"5253";"Svichtov";"Bulgaria";"SRID=4326;POINT(25.305538 43.639465)";"Paper and printing";"ETS/EPRTR";2791.00;471000.00;;;0.00;0.00;0.00;0.00
68;"OGNYANOVO-K";"ZNHV";"s. Golyamo Malovo";"2239";"Golemo Malovo";"Bulgaria";"SRID=4326;POINT(22.976383 42.90878)";"Cement";"ETS/EPRTR";131706.00;132000.00;;;0.00;0.00;0.00;0.00
69;"DEVNIA TSIMENT";"Devnya Tsiment";"Promishlena Zona";"9160";"Devnia";"Bulgaria";"SRID=4326;POINT(27.594131 43.235107)";"Cement";"ETS/EPRTR";770448.00;770000.00;;;0.00;0.00;0.00;0.00
70;"DRUZHBA STAKLARSKI ZAVODI";"Ploshtadka Plovdiv";"Georgi Benev 15";"4003";"Plovdiv";"Bulgaria";"SRID=4326;POINT(24.739872 42.169785)";"Glass";"ETS/EPRTR";117884.00;118000.00;184975.69;296.98;0.00;59.39;0.00;59.39
71;"STOMANA-INDASTRI";"Stomana Indastri AD";"Vladaysko vastanie 1";"2304";"Pernik";"Bulgaria";"SRID=4326;POINT(23.10493 42.593002)";"Iron and steel";"ETS/EPRTR";115562.00;116000.00;445958.81;142.52;0.00;42.75;25.65;68.41
72;"KALTSIT";"Kaltsit AD";"Promishlena zona";"4230";"Asenovgrad";"Bulgaria";"SRID=4326;POINT(24.864027 42.026443)";"Cement";"ETS/EPRTR";43806.00;;;;0.00;0.00;0.00;0.00
73;"MONDI  STAMBOLIYSKI";"MONDI STAMBOLIYSKI EAD";"Zavodska 1";"4210";"Stamboliiski";"Bulgaria";"SRID=4326;POINT(24.522258 42.134639)";"Paper and printing";"ETS/EPRTR";32505.00;504000.00;96989.40;148.17;14.81;0.00;0.00;14.81
74;"LUKOYL NEFTOHIM BURGAS";"Lukoyl Neftohim Burgas AD, gr Burgas";"Zapadna Industrialna Zona";"8104";"Burgas";"Bulgaria";"SRID=4326;POINT(27.336508 42.54544)";"Refineries";"ETS/EPRTR";1024860.00;1020000.00;;;0.00;0.00;0.00;0.00
75;"NEOHIM";"NEOHIMAD";"HIMKOMBINATSKA 3";"6403";"Dimitrovgrad";"Bulgaria";"SRID=4326;POINT(25.617222 42.05)";"Chemical industry";"ETS/EPRTR";597598.00;69732.00;;;0.00;0.00;0.00;0.00
76;"SOLVAY SODI";"Solvey Sodi  AD";"Promishlena zona  - yug";"9160";"Devnya";"Bulgaria";"SRID=4326;POINT(27.708887 43.263611)";"Chemical industry";"ETS/EPRTR";558406.00;558000.00;;;0.00;0.00;0.00;0.00
77;"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD";"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant";"Vassilikos area";"7738";;"Cyprus";"SRID=4326;POINT(33.316388 34.721666)";"Cement";"ETS/EPRTR";1506658.00;1510000.00;2648977.61;2575.39;0.00;386.30;0.00;386.30
78;"PARAMO, a.s.";"HS Pardubice";"Přerovská 560";"53006";"Pardubice";"Czech Republic";"SRID=4326;POINT(15.745081211111 50.031465880556)";"Refineries";"ETS/EPRTR";21185.00;;;;0.00;0.00;0.00;0.00
79;"VÍTKOVICE STEEL, a. s.";"VÍTKOVICE STEEL, a.s.";"Štramberská 2871/47";"70900";"Ostrava - Hulváky";"Czech Republic";"SRID=4326;POINT(18.256851661111 49.816230669444)";"Iron and steel";"ETS/EPRTR";140586.00;141000.00;18407.61;4.55;0.00;1.36;0.82;2.18
80;"Cement Hranice, akciová společnost";"Cement Hranice, akciová společnost";"Bělotínská 288";"75301";"Hranice I-Město";"Czech Republic";"SRID=4326;POINT(17.760955555556 49.561166666667)";"Cement";"ETS/EPRTR";479095.00;535000.00;1035702.16;1006.93;0.00;151.03;0.00;151.03
81;"TŘINECKÉ ŽELEZÁRNY, a. s.";"Provozovna Třinec";"Průmyslová 1000";"73961";"Třinec - Staré Město";"Czech Republic";"SRID=4326;POINT(18.647281538889 49.688105519444)";"Iron and steel";"ETS/EPRTR";2630157.00;2630000.00;344379.36;15792.84;0.00;3760.92;254.13;4015.05
82;"ČESKÁ RAFINÉRSKÁ, a.s.";"Rafinérie Litvínov";"N/A 2";"43601";"Litvínov";"Czech Republic";"SRID=4326;POINT(13.60565515 50.5623143)";"Refineries";"ETS/EPRTR";394512.00;395000.00;;;0.00;0.00;0.00;0.00
83;"AGC Flat Glass Czech a.s., člen AGC Group";"závod Řetenice, Coating, Vedení společnosti";"Sklářská 450";"41503";"Teplice";"Czech Republic";"SRID=4326;POINT(13.801218380556 50.64063215)";"Glass";"ETS/EPRTR";263093.00;263000.00;721213.85;2187.68;0.00;0.00;437.53;437.53
84;"VÁPENKA VITOŠOV s.r.o.";"VÁPENKA VITOŠOV s.r.o.";"N/A 54";"78901";"Leština";"Czech Republic";"SRID=4326;POINT(16.947847611111 49.859587661111)";"Cement";"ETS/EPRTR";316802.00;317000.00;;;0.00;0.00;0.00;0.00
85;"Lafarge Cement, a.s.";"Lafarge Cement, a.s.";"N/A 27";"41112";"Čížkovice";"Czech Republic";"SRID=4326;POINT(14.045094569444 50.489526388889)";"Cement";"ETS/EPRTR";348099.00;407000.00;752516.49;731.61;0.00;109.74;0.00;109.74
86;"KOTOUČ ŠTRAMBERK, spol. s r. o.";"KOTOUČ ŠTRAMBERK, spol. s r.o.";"Libotín 500";"74266";"Štramberk";"Czech Republic";"SRID=4326;POINT(18.115951161111 49.579821788889)";"Cement";"ETS/EPRTR";111302.00;111000.00;;;0.00;0.00;0.00;0.00
87;"Biocel Paskov a.s.";"Biocel Paskov a.s.";"Zahradní 762";"73921";"Paskov";"Czech Republic";"SRID=4326;POINT(18.289732 49.713977)";"Paper and printing";"ETS/EPRTR";14130.00;;;;0.00;0.00;0.00;0.00
88;"Vápenka Čertovy schody a.s.";"Vápenka Čertovy schody, s.r.o.";"N/A 200";"26721";"Tmaň";"Czech Republic";"SRID=4326;POINT(14.057108488889 49.910278261111)";"Cement";"ETS/EPRTR";346671.00;347000.00;;;0.00;0.00;0.00;0.00
89;"Českomoravský cement, a.s.";"závod Mokrá";"N/A 359";"66404";"Mokrá";"Czech Republic";"SRID=4326;POINT(16.771682269444 49.216410988889)";"Cement";"ETS/EPRTR";511690.00;582000.00;1106165.67;1075.43;0.00;161.31;0.00;161.31
90;"Českomoravský cement, a.s.";"závod Králův Dvůr - Radotín, provozovna Radotín";"N/A";"15302";"Praha 5 - Radotín";"Czech Republic";"SRID=4326;POINT(14.339787819444 49.996187919444)";"Cement";"ETS/EPRTR";451484.00;487000.00;976013.02;948.90;0.00;142.33;0.00;142.33
91;"CARMEUSE CZECH REPUBLIC s.r.o.";"závod Mokrá";"N/A";"66404";"Mokrá";"Czech Republic";"SRID=4326;POINT(16.774063738889 49.215466338889)";"Cement";"ETS/EPRTR";115274.00;115000.00;;;0.00;0.00;0.00;0.00
92;"ČESKÁ RAFINÉRSKÁ, a.s.";"Rafinérie Kralupy nad Vltavou";"O. Wichterleho 809";"27801";"Kralupy nad Vltavou";"Czech Republic";"SRID=4326;POINT(14.32869175 50.258409430556)";"Refineries";"ETS/EPRTR";482653.00;483000.00;;;0.00;0.00;0.00;0.00
93;"Holcim (Česko) a.s., člen koncernu";"Závod Prachovice";"Tovární 296";"53804";"Prachovice";"Czech Republic";"SRID=4326;POINT(15.640440438889 49.895458611111)";"Cement";"ETS/EPRTR";395322.00;;854602.64;830.86;0.00;124.62;0.00;124.62
94;"ArcelorMittal Ostrava a.s.";"ArcelorMittal Ostrava a.s.";"Vratimovská 689/117";"71900";"Ostrava, Kunčice";"Czech Republic";"SRID=4326;POINT(18.305777830556 49.7958697)";"Iron and steel";"ETS/EPRTR";74777.00;2860000.00;4148000.00;2591.78;0.00;584.31;44.92;629.24
95;"BorsodChem MCHZ, s.r.o.";"BorsodChem MCHZ, s.r.o.";"Chemická 2039/1";"70900";"Ostrava";"Czech Republic";"SRID=4326;POINT(18.233100588889 49.834985330556)";"Chemical industry";"ETS/EPRTR";159906.00;159667.60;;;0.00;0.00;0.00;0.00
96;"CS CABOT, spol. s r.o.";"CS CABOT";"Masarykova 753";"75701";"Valašské Meziříčí";"Czech Republic";"SRID=4326;POINT(17.955675161111 49.501398069444)";"Chemical industry";"ETS/EPRTR";63421.00;;;;0.00;0.00;0.00;0.00
97;"SYNTHOS Kralupy a.s.";"SYNTHOS Kralupy a.s.";"O. Wichterleho 810";"27801";"Kralupy nad  Vltavou";"Czech Republic";"SRID=4326;POINT(14.32785848 50.25952056)";"Chemical industry";"ETS/EPRTR";48788.00;;;;0.00;0.00;0.00;0.00
98;"Papierfabrik Palm GmbH & Co.KG";"Papierfabrik Palm GmbH & Co.KG";"Neukochen 10";"73432";"Aalen";"Germany";"SRID=4326;POINT(10.11424127615 48.823697723208)";"Paper and printing";"ETS/EPRTR";127433.00;127000.00;490245.26;748.98;74.89;0.00;0.00;74.89
99;"Schwenk Zement KG";"SCHWENK Zement KG, Werk Mergelstetten";"Hainenbachstr. 30";"89522";"Heidenheim";"Germany";"SRID=4326;POINT(10.162467670779 48.653686828527)";"Cement";"ETS/EPRTR";539698.00;466000.00;783338.60;761.57;0.00;114.23;0.00;114.23
