"SiteID";"CompanyName";"SiteName";"Address";"CityCode";"City";"Country";"geom";"Subsector";"DataSource";"Emissions_ETS_2014";"Emissions_EPRTR_2014";"Production";"Fuel_Demand";"Excess_Heat_100-200C";"Excess_Heat_200-500C";"Excess_Heat_500C";"Excess_Heat_Total"
3134;"UPM-Kymmene Oyj";"Rauman tehtaat";"PL 95";"26101";"Rauma";"Finland";"SRID=4326;POINT(21.50394 61.128915)";"Paper and printing";"ETS";19547.00;;;124.23;0.00;0.00;0.00;0.00
3135;"Porvoon Energia Oy-Borgå Energi Ab";"Bion lämpökeskus";"PL 95";"6101";"Porvoo";"Finland";"SRID=4326;POINT(25.660486 60.395391)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3136;"Porvoon Energia Oy-Borgå Energi Ab";"Eestinmäen lämpökeskus";"PL 95";"6101";"Porvoo";"Finland";"SRID=4326;POINT(25.660486 60.395391)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3137;"Porvoon Energia Oy-Borgå Energi Ab";"Gammelbackan lämpökeskus";"PL 95";"6101";"Porvoo";"Finland";"SRID=4326;POINT(25.660486 60.395391)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3138;"Porvoon Energia Oy-Borgå Energi Ab";"Määrlahden lämpökeskus";"PL 95 ";"6101";"Porvoo";"Finland";"SRID=4326;POINT(25.660486 60.395391)";"Other non-classified";"ETS";3145.00;;;;0.00;0.00;0.00;0.00
3139;"Corenso United Oy Ltd";"Porin kartonkitehdas";"PL194 Porin kartonkitehdas Add 2";"28101";"Pori";"Finland";"SRID=4326;POINT(21.791002 61.486724)";"Paper and printing";"ETS";;;;;0.00;0.00;0.00;0.00
3140;"Tampereen Energiantuotanto Oy";"Julkujärvi";"Plastirollintie ";"39160";"Ylöjärvi";"Finland";"SRID=4326;POINT(23.541756 61.561136)";"Other non-classified";"ETS";457.00;;;;0.00;0.00;0.00;0.00
3141;"Paroc Oy Ab";"Lappeenrannan Kivivillatehdas";"Poikkitie 1 -";"53500";"Lappeenranta";"Finland";"SRID=4326;POINT(28.175099 61.040569)";"Non-metallic mineral products";"ETS";16881.00;;;;0.00;0.00;0.00;0.00
3142;"Laitilan Lämpö Oy";"Meijerin lämpökeskus";"Poukantie";"23800";"Laitila";"Finland";"SRID=4326;POINT(21.679952 60.874507)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3143;"Kemijärven Kaukolämpö Oy";"Tohmon lämpökeskus";"Rajakatu 29";"98310";"Kemijärvi";"Finland";;"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3144;"Nurmijärven Sähkö Oy";"Varalämpökeskus, Nurmijärven kirkonkylä";"Rajamäentie 9";"1900";"Nurmijärvi";"Finland";"SRID=4326;POINT(24.750139 60.527146)";"Other non-classified";"ETS";5.00;;;;0.00;0.00;0.00;0.00
3145;"Lahti Energia Oy";"Nastolan kaasuturbiinilaitos";"Rakokiventie 23";"15550";"Nastola";"Finland";"SRID=4326;POINT(25.975352 60.933263)";"Other non-classified";"ETS";1227.00;;;;0.00;0.00;0.00;0.00
3146;"Haapajärven Lämpö Oy";"Rantakadun lämpökeskus";"Rantakatu 25 ";"85800";"Haapajärvi";"Finland";"SRID=4326;POINT(25.32864 63.74395)";"Other non-classified";"ETS";155.00;;;;0.00;0.00;0.00;0.00
3147;"Vapo Oy";"Rauhalan lämpökeskus";"Rauhala";"81700";"Lieksa";"Finland";"SRID=4326;POINT(30.054394 63.301198)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3148;"Oy Turku Energia Åbo Energi Ab";"Ravurinkadun biokaasulämpökeskus";"Ravurinkatu 20";"20380";"Turku";"Finland";"SRID=4326;POINT(22.33782 60.489763)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3149;"Varkauden Aluelämpö Oy";"Kämärin lämpökeskus";"Rehnströminkatu 9";"78250";"Varkaus";"Finland";"SRID=4326;POINT(27.906125 62.307167)";"Other non-classified";"ETS";757.00;;;;0.00;0.00;0.00;0.00
3150;"Varkauden Aluelämpö Oy";"Kuoppakankaan lämpökeskus";"Relanderinkatu 62";"78200";"Varkaus";"Finland";"SRID=4326;POINT(27.833943 62.33094)";"Other non-classified";"ETS";853.00;;;;0.00;0.00;0.00;0.00
3151;"Kajaanin Lämpö Oy";"Rinnekadun lämpökeskus";"Rinnekatu 2 A";"87100";"Kajaani";"Finland";"SRID=4326;POINT(27.743401 64.207708)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3152;"Suomussalmen kunta";"Risteen lämpökeskus";"Risteentie";"89600";"Suomussalmi";"Finland";"SRID=4326;POINT(28.906587 64.887717)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
