,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IKA120,336749,322737,329038,332779,259441,339768,335950,303335,370764,369605,366489,361988,346279,274486,303621
IFE130,236600,243749,262250,264056,186944,251049,284762,258691,247483,246694,211388,225418,256444,271930,227618
IFE126,164383,162921,168956,172135,127459,160030,169359,139562,149398,158757,148364,158349,167489,180987,119859
IFE125,76707,76603,77181,75296,66065,73221,71225,71994,74623,73104,72522,72084,73649,77453,76311
IFE127,20018,21418,23113,22490,16864,21887,23157,22828,21605,15997,20411,15245,18448,23683,17959
IFE128,15939,16319,17611,15718,10357,14089,13199,10085,10762,12793,10484,10152,12255,12001,12505
IGL172,64882,64099,69094,73379,72657,67740,59776,65830,67305,64209,64647,66471,66001,61631,68178
IGL173,47455,55087,53831,56782,54512,57062,57397,52792,56565,56240,57278,52607,58286,59513,59982
IVA062,4084355,4206897,4464902,3743481,2953589,3465646,3192620,3178129,8648719,8698426,8712811,8669345,9220971,7816077,8812969
IZI136,10196,9894,11267,7428,6014,7300,8221,6708,4783,3935,5278,5673,4891,0,0
IZI138,17838,18298,18102,14668,8922,12199,18126,17817,15099,18004,18363,19737,20237,21406,17084
IZI140,7846,4517,7968,5648,5809,5812,5248,5659,5721,6157,6550,5746,5662,6421,7803
IZI132,19051,18515,20156,18224,15084,15272,23148,21309,22625,21642,22716,22934,23361,25261,26252
IZI134,9693,10151,11047,8914,7891,9861,11528,8887,9467,10887,10384,11261,11880,15340,15831
IZI133,24657,23341,23386,19555,20457,18313,28933,27493,24879,28004,25928,26548,24838,28292,26050
IZI141,3572,3570,3450,2881,2586,2617,2541,2416,2342,1768,1480,1660,1885,1353,0
IKA122,51796,63419,60741,63380,10519,17428,46586,32008,93173,89812,97255,89354,84544,89528,91459
IZE075,208070,188733,222813,198935,50950,18269,18337,0,0,0,0,0,0,0,0
IZE076,242000,433025,485029,497811,342329,309210,356207,308463,405319,397425,374950,379984,409718,449914,468704
IPA103,52097,55800,49634,14668,9615,7450,11718,14269,45847,37071,48407,51577,56816,52791,53294
IZE074,219745,222135,268680,240098,235552,196287,192381,222153,191794,203595,206097,219510,189999,234800,233084
IZE202,256750,250538,264133,264657,206648,204382,201195,191315,262867,260135,268048,276497,280216,290522,291278
IZE078,298566,334398,372862,393964,355311,270308,257660,267319,265510,245218,245699,276541,290431,324752,320992
IZI151,6608,8123,7718,6523,1015,2789,4476,6674,7939,6403,9392,12420,10964,11189,13256
IZI155,5855,3500,4346,3670,2904,2861,4162,4082,4017,3064,3075,3436,3487,3738,5129
IZI158,3223,4000,3610,3797,2473,3493,2687,2742,2712,2398,0,0,0,0,0
IZI143,29504,31459,27517,18364,23712,20662,19990,17495,14793,17012,17204,17082,20037,16095,18202
IZI144,19594,16565,22846,23469,25982,21385,18518,16048,9480,14027,13786,14277,13643,13930,14906
IZI156,15008,14530,13428,12322,12592,13265,15885,15808,16206,15334,13102,10970,12015,12833,13716
IZI152,1476,779,1292,932,1027,768,502,566,604,450,485,740,706,1492,1877
IZI150,8361,8851,9425,9004,6370,7182,8621,8473,6246,6068,7568,8170,8852,14040,14202
IZI153,1627,1874,1527,1762,1396,1430,1503,1370,1633,1366,1358,1366,1888,2121,2150
IZI145,21214,22773,22915,18851,16063,16645,17813,17098,15096,17029,16496,17159,18478,19873,20309
IZI159,5227,3625,2226,1948,3161,3278,4103,4690,3760,3961,4024,4581,4714,3854,3740
IES285,,,,,,,,,12673,12768,12307,12912,13116,13142,12404
IVA257,,,,,,,,,49942,51351,53796,46625,48582,49661,48666
IVA259,,,,,,,,,71958,73748,56703,50832,74490,76250,62610
IVA258,,,,,,,,,48771,48347,49176,58446,56375,44464,39612
WAI084P018,72730,71598,71846,68399,39499,61296,59919,57779,58965,60764,60165,61271,61511,62192,61547
VL901,114626,113010,112833,112290,110535,117129,111910,89800,87623,93571,105519,98145,100402,101463,43566
