,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14260-0161,17995,17366,16745,11507,10177,17376,15817,13943,16657,15564,15891,17786,17997,17715,18700
14230-0047,631087,760963,707377,677914,631972,666564,694336,671945,672567,730492,712094,775066,760185,806571,820113
14240-0033,43170,52077,48947,53207,36806,46630,58996,46924,43103,25971,34892,45253,55518,10388,0
14642-0002,,,,,,,,,30807,31021,29806,28213,25388,25409,24101
14260-0251,,,,,,,,,22630,22775,25781,24015,24397,24034,23264
14260-0255,,,,,,,,,30916,30954,28591,29190,29171,28540,26547
14260-0070,4276,4458,4080,3618,947,5292,5059,4393,4619,3988,3831,3615,3475,2863,3239
14632-0002,,,,,,,,,47046,41892,43142,40440,41237,41685,38386
14260-0248,,,,,,,,,17682,17389,16927,17803,15369,16880,17727
14280-0095,20218,20356,20079,18536,17557,18122,18075,19186,18468,17434,2511,,,,
14250-0021,38993,38513,39116,33795,35290,36500,37285,37415,30491,36962,37426,37809,38422,38221,38693
14250-0061,7071,7870,4843,4712,4988,4881,7301,6806,9277,10448,12988,13154,14557,14849,14372
14616-0220,,,,,,,,,,,,,,4579,4226
14260-0252,,,,,,,,,24882,24220,24290,24744,23890,22443,21113
14280-0007,104117,115905,134688,264,125,0,0,0,14,14,13,36,20,25,19942
14260-0061,15318,17434,19090,12871,14191,15081,16815,13959,16008,12072,14638,17329,19913,20488,19771
14250-0079,44913,47851,48607,46397,42546,46657,45987,46281,46552,48816,49196,48537,47145,45036,46604
14250-0082,42910,47251,46651,45635,43758,44001,41190,40123,46396,47303,50419,49125,48405,46413,45188
14250-0078,99483,91961,101349,99818,104920,93781,97805,93394,99501,99250,94222,82909,85430,78773,95485
14633-0005,,,,,,,,,55782,57877,50685,52344,50348,51581,48711
14226-0092,,,,,,,,,3095,3730,4207,3401,3385,3471,2027
14226-0048,,,,,,,,,47525,47675,48438,50720,52566,50015,35040
14226-0014,,,,,,,,,19798,20591,20519,18572,19709,20675,14091
14225-0002,,,,259833,182288,261488,245623,252036,251875,249717,260822,288183,291814,313238,309126
14240-0002,165029,164005,166827,111458,115262,124096,132567,124552,123674,122072,112473,103850,119042,112942,97842
14633-0021,,,,,,,,,11359,9561,9885,9819,9636,8297,11408
14310-0858,362461,402225,375647,325349,246539,238687,213106,117547,121328,126044,121847,143068,141821,125111,86972
14270-0001,81616,72673,78143,77276,67745,62003,63127,63871,75013,73526,76663,74397,72516,79841,69614
14270-0003,41143,44215,37199,36248,31925,32744,33223,35261,45310,42877,40613,48704,52494,53521,49020
14310-0932,356712,369679,353611,6225,5291,5202,4395,4475,17427,15323,17403,17193,16040,19103,19606
14270-0004,1072,1175,1353,587,1020,2692,2788,2574,3268,3650,2537,3682,3111,4130,2930
14230-0007,607030,668067,663604,667106,609230,572832,633466,627385,576558,614274,535478,575472,556998,512958,534061
14230-0038,869206,890994,972973,835604,824554,818662,896009,865492,887782,902951,826367,885363,882572,720751,906847
14230-0017,687661,631057,615975,636112,632137,528266,684870,605495,531194,446159,449638,410197,514525,492589,499159
14230-0018,621293,654370,688198,699277,722891,484639,711418,628985,621251,639608,657065,613937,743939,671875,600572
14230-0040,571433,544733,591798,546665,565030,502723,556919,560337,523421,447247,495135,522800,591533,575206,605119
14230-0012,1040978,1035395,1252253,1135616,907006,862145,898394,916772,853614,882556,869350,866814,935696,903374,902251
14230-0024,534461,544526,558775,491072,510758,433143,530569,481299,450913,417889,432651,419360,518955,530483,495525
14230-0023,520360,522714,602973,536845,492424,473750,608912,625180,533567,590041,568159,527924,637302,728759,732456
14230-0019,217492,190444,225743,215225,248663,233253,265219,268071,253024,255022,214097,226189,221429,260421,250041
14230-0010,1294631,1468601,1583599,1430101,1224563,1266416,1278070,1288027,1271582,1266662,1273740,1143341,1309889,1140546,1208758
14230-0028,628918,733408,726408,642158,501600,632259,746042,798951,875785,803828,803030,805480,823430,781483,593456
14230-0014,310994,311587,370748,323689,336050,473417,454596,456126,418691,483269,456065,451769,487356,489071,440816
14220-0012,885205,888510,889327,769721,572271,662107,886344,870606,862485,975238,901494,861344,1031050,971945,988064
14260-0189,23196,23784,21501,24125,23216,25732,25057,31460,25348,23178,22574,22900,23305,22014,21815
14260-0076,46011,28732,22501,23081,22081,26148,31420,29960,30690,26319,23138,25216,24959,25421,24812
14260-0127,3776,4226,3754,2262,2334,866,1179,998,1628,2044,1904,1905,1957,2745,1895
14260-0099,10012,11636,13710,8117,11007,6687,6569,7217,7219,11421,9075,10638,14418,15813,17281
14260-0072,25121,11456,12333,11970,8099,8884,8485,6638,7026,7979,6873,8715,10275,9448,11691
14260-0172,6937,7400,6728,6953,6631,6791,7748,7601,7139,7165,7800,7318,6993,7165,6976
14260-0007,14968,15060,13717,5711,4590,4178,5201,4531,1308,0,0,0,,,
14260-0097,3734,3855,3955,2343,1103,1651,1677,2731,3158,2739,1738,2879,3779,4513,3608
14260-0216,8040,8719,7824,3394,3683,4101,4857,4468,4244,4279,3745,4703,5322,5403,4947
14260-0136,32638,37535,32867,16280,18445,20120,19465,16887,18612,20614,19751,17112,17882,17087,18816
14260-0075,17917,17388,20697,12749,9005,8278,11247,10758,12571,13039,7916,7043,7293,6753,8684
14260-0083,12885,15037,19587,11979,7371,10571,12258,11706,11553,10784,10950,12566,12548,11674,10909
14260-0163,4778,5461,4833,5283,4761,5453,5229,4384,4902,5321,5687,6207,6301,7841,8429
14260-0107,6839,10283,9896,6873,3100,4597,6426,5668,4716,6496,12045,13377,14012,14846,13111
14260-0126,8068,8605,8438,5606,5644,6895,7911,7152,6705,6543,6825,6195,6566,7034,6316
14260-0177,21994,21686,28877,20514,15932,23101,25906,28049,28890,33844,28736,32154,26163,27631,32028
14260-0015,18546,18965,17769,11637,9335,11316,15109,13152,18192,14550,15169,18434,16871,22588,20261
14260-0211,15079,20138,21015,15798,12361,15978,18202,15176,20097,16804,17746,20347,21094,22337,20731
14260-0145,1828,2599,1523,1303,1408,416,1330,1075,1117,1731,,,,,
14260-0033,25306,28059,25610,24004,20990,25850,25883,25920,26135,26011,24451,25953,29052,26937,25688
14260-0151,4474,6671,6382,6893,5327,4566,5962,6117,5262,5563,5855,0,Not Reported,,
14260-0024,22601,19575,20428,18602,21331,25183,24397,24814,22090,17141,17107,18070,20862,18471,21133
14260-0025,4044,5477,4993,4660,3988,4667,4724,4867,5447,5255,5576,5563,6358,5660,5734
14260-0152,19890,17189,18542,20200,18289,19326,18183,20867,16982,16986,18151,18826,20003,20722,21353
14260-0210,14647,15612,16796,11673,12002,17376,18542,16608,16161,15512,16046,15745,18939,19895,19478
14260-0022,29165,29315,29607,27167,28780,43196,45303,42842,41705,38508,32212,37964,33442,43276,40483
14260-0146,6630,6335,7437,9278,5083,5613,5948,6167,4341,4725,4398,4723,4611,5052,4949
14260-0199,13281,18329,18433,13832,9741,8304,11504,10438,11702,0,,,,,
14260-0187,15394,16540,19932,16830,15787,20793,20660,24006,29961,27112,23475,25160,25019,27534,29048
14260-0023,22056,25778,24271,23206,22502,26362,22355,20023,26508,20615,21632,22157,22686,23759,23871
14260-0212,11764,13937,15612,13551,13302,16299,18707,18344,14630,11849,12805,15416,16862,17296,16536
14260-0165,8349,9321,14803,10764,8058,9299,11920,10565,10125,7986,9065,7566,8777,7920,7193
14260-0035,6055,5047,7460,7539,6839,7485,9551,8558,10530,8590,8007,9016,8128,8067,7623
14260-0221,14789,9953,12350,15793,12641,11337,12028,11771,11029,11642,12583,12052,10539,12338,12650
14260-0140,3576,3387,3916,3329,3021,3048,3275,2415,2903,2447,2469,Not Reported,Not Reported,,
14260-0206,36719,38701,41753,33257,32379,36642,45320,46316,46706,39361,43364,50435,50092,51111,45636
14260-0167,9012,9415,8377,7134,6808,9731,11205,13065,13342,12027,12331,12569,13393,13363,13173
14260-0159,21441,22105,21739,17264,18736,19752,18757,20806,20303,19692,20004,19132,18886,17751,16433
14260-0182,7187,8287,7373,7211,6847,6355,6890,8061,8255,8687,7188,9579,10098,8976,7411
14240-0083,,,,4671,5969,4962,6072,5715,59474,66989,60893,56436,74045,76837,67951
14240-0088,,,,7295,7435,6871,8695,8698,129804,124305,107683,119494,134363,142764,139375
14240-0089,,,,8249,9414,9902,9941,11984,90303,92639,89875,84745,91182,125572,104346
14240-0087,,,,6865,7317,7319,8669,10028,66925,72322,60576,64530,71315,79651,91132
14240-0081,,,,2530,3008,2183,2677,2574,23636,29133,19628,26189,37441,42092,47509
14240-0079,,,,1970,2172,1965,2774,2624,27298,30053,28423,26178,35961,34096,38191
14250-0101,,,,,33512,110572,121865,121859,122649,133680,123914,122457,125677,125921,119317
TCO2-7,2565970,2695400,2764907,2235680,1513917,1420067,1683864,1658029,1647199,1718011,1780564,2054900,2277214,2190706,2189152
TCO2-1766,60793,58181,59872,62017,48627,55950,57097,59533,54246,56875,56929,57875,53483,52511,52865
TCO2-1711,5151,5825,5822,5421,3416,3406,3763,3431,3310,3688,3756,4229,4780,4753,4815
TCO2-1720,7620,7513,8466,7859,7620,7911,8160,9484,9032,9452,9917,7141,8476,9372,7758
TCO2-1721,20066,18167,18732,11650,6873,4612,3606,3997,4097,3821,4228,4859,5120,5487,4428
TCO2-1870,4893,258,257,4790,646,0,0,0,0,0,0,0,0,0,0
TCO2-1734,4758,5217,5383,4503,4022,4819,5781,4841,4934,5116,5533,5750,6002,6117,5853
TCO2-1739,6852,6713,6411,4635,2434,4453,5696,5294,3755,4641,4544,6167,6182,5933,5511
TCO2-1741,4987,5135,4920,5357,4464,4199,4017,4055,3896,3969,4216,4427,4794,4524,4911
TCO2-1744,10870,11248,10942,9514,5833,5421,4204,3909,3937,,,,,,
TCO2-1743,4289,4778,3849,4280,2855,3202,3405,3285,2733,2681,2746,2559,2864,2968,2909
TCO2-1761,9993,10424,10963,9719,6766,6161,8111,7808,7976,8747,9102,9289,8492,8913,8719
TCO2-1762,9234,9835,11205,6364,4579,5844,7477,6777,4837,4672,6253,7307,6817,9699,8227
TCO2-1764,16870,18836,20860,15937,10857,12494,12378,11478,10332,10617,13796,13777,15865,18925,18868
TCO2-1760,10166,9396,9478,7103,5541,5645,6587,4847,5239,5552,6777,7235,7911,7913,8179
TCO2-1763,14204,17866,20617,12962,7885,7483,7750,6346,5105,8393,9774,11763,15612,17069,16739
TCO2-1770,10531,11960,11976,10820,8392,6909,7575,6802,8851,8863,9865,10491,11504,12385,11972
TCO2-1728,63445,98042,117118,65233,20209,54126,62908,50230,59584,63195,67562,73538,104993,100079,110844
TCO2-1756,65442,59576,61117,38364,15330,6485,3434,23,17,,,,,,
TCO2-1,409597,454074,473685,418579,425897,383168,380470,428801,393480,425453,436947,454127,403726,439407,432999
TCO2-1772,14483,14582,14740,14141,13336,14104,14148,14422,14197,14492,13094,5483,1368,635,951
TCO2-1773,514584,499266,487164,497534,501597,492044,474806,520190,536998,518011,554033,430953,543609,481115,540440
TCO2-1784,5207,5657,5707,2902,2123,2002,2836,2507,2278,9,,,,,
TCO2-1785,14929,15301,16219,14308,9686,12464,15614,15289,15784,17209,18963,19877,20592,18465,20200
TCO2-1786,8162,10750,11614,10525,7068,6748,8976,8696,7241,9530,11146,12872,16589,17886,17860
TCO2-1544,3360,4802,5687,3111,2650,3190,3755,4498,3548,3254,3433,4025,4324,3727,4363
TCO2-1788,7431,7860,8128,5852,3370,2062,3948,2719,2953,3199,5251,6869,7604,7942,8123
EE-KL-0047,0,14344,23245,24995,23499,24774,25976,29604,29469,26261,22662,21666,19736,25213,26690
EE-KL-0040,745620,801950,1176775,1178661,510870,610885,811025,763767,748123,785695,379310,331299,559629,547647,547282
EE-KL-0039,,,,246154,27293,0,0,32023,232452,0,0,0,0,0,0
EE-KL-0041,34621,39582,41221,37916,24055,25962,34071,66736,63555,44181,39936,39042,49172,49572,41675
EE-KL-0045,,3496,12878,10226,2750,4572,7650,9518,10905,5292,5204,5972,5905,5440,5551
EE-KL-0057,,,,,,,,,467858,593400,732132,651704,814664,837752,841976
EE-KL-0046,51115,49559,44009,37996,34835,39023,35503,27714,20237,22263,24322,24560,25698,10427,9616
EE-KL-0056,,,,,,,,,,6764,16050,48825,58794,59297,59368
EE-KL-0043,32476,35066,37646,33786,35246,40999,43139,40360,43902,33530,33380,31593,32676,32397,33652
EE-KL-0023,25520,28066,25009,17914,8783,4126,2061,3784,2665,0,Not Reported,Not Reported,Not Reported,Not Reported,
EE-KL-0007,70298,69513,53129,54905,39198,49996,52257,49172,43058,43971,46541,34842,45851,39999,53576
EE-KL-0051,,,,,,,200185,163425,155160,278674,428636,565541,593584,666794,708827
ES081709000557,3800,4207,4196,3860,1003,362,437,591,569,392,1,4541,22279,26083,27468
ES110605000717,92749,102480,95225,148266,124025,127563,131249,118159,0,,,,,,
ES110601001363,,,,,,,0,0,102223,77061,97372,120866,131425,121425,105293
ES110606000978,222594,699490,783202,688359,471509,400780,370254,426374,202203,200441,391921,225307,407704,404262,408391
ES104607000711,94560,100167,105035,100602,92630,103095,93886,91401,90741,94555,99115,96719,97767,70412,99250
ES10121310843,,,,,,,,,2571,770,6320,6729,7579,7720,7661
ES033305000226,5536780,5488949,5639976,5405474,4385832,5291346,4985828,4587154,5091744,4961301,5907100,5718833,5307741,5646785,5097167
ES104601001147,,15882,16334,13440,8919,11557,10693,10471,65766,71802,71519,77245,74607,76130,70258
ES10121310-723,,,,,,,,,6080,10261,9430,6996,,,
ES183109000886,38174,28025,28816,37271,32720,36450,35667,35922,35933,33087,37205,36000,40763,40913,40321
ES011105000075,261734,256199,225056,207268,142375,161855,167502,167876,198922,210646,233376,237563,235727,222632,206138
ES194805000944,22622,24435,23537,23343,15572,22298,22854,21879,25260,23776,24327,26282,24515,25135,22585
ES190105000943,25968,26397,27144,28953,18921,20553,24939,28967,32917,38431,35056,38800,39262,41552,39247
ES06092310-827,,,,,,,,,28500,28748,26610,26210,27092,28997,33769
ES104608000696,29135,25801,25065,19846,15767,14958,12655,7830,7629,6873,7075,8072,5968,,
ES071601000386,25561,12872,28886,11834,18,6,13,10,0,,,,,,
ES080809000526,6032,5755,6171,4912,3523,3893,5110,4679,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES192009000933,14338,13840,13949,14454,11694,15380,13753,13103,12649,12209,11830,12574,13353,12952,11338
ES190107000956,98347,104417,103650,97677,83907,95102,101801,101235,100892,85557,100108,93061,99644,100997,98953
ES07132410-899,,,,,,,,,329572,316237,323607,337698,322264,288033,286482
ES12152410650,,,,,,,,,166108,191033,192977,191265,190531,197118,190460
ES03330710-33867,,,,,,,,,121610,125579,124826,136930,148145,141536,25942
ES12150710648,,,,,,,,,137837,131247,147892,164559,180728,182793,23379
ES19480810700,,,,,,,,,34823,32724,34068,36863,37710,37175,31233
ES10030810853,,,,,,,,,1316,1555,1442,1662,2109,2445,4670
ES12270710632,,,,,,,,,472880,471447,471241,467868,481554,480612,465335
ES121501000730,52691,34220,40332,42261,34540,41865,25239,21983,3538,,,,,,
ES12270710633,,,,,,,,,884413,808355,651978,629600,647021,647456,653910
ES014106000002,101964,140122,148094,168649,172308,187083,196446,167043,157814,164592,148020,135629,155032,196469,185640
ES194801001198,,15899,15969,17420,13919,16475,14627,14791,23905,22803,27105,23984,27628,29437,28264
ES18310610653,,,,,,,,,19253,20556,19678,19773,20317,20654,19903
ES194805000942,173337,259189,279206,243295,168184,230288,165047,53307,117709,115885,105411,21973,57671,63691,56894
ES101208000617,21937,55055,63630,49654,30338,36696,43034,45295,45340,47897,51694,60879,65337,65716,63178
ES101208000618,71173,58505,52469,47126,33785,57021,58420,61820,67267,61551,58031,48212,48814,57538,62090
ES152808000839,21072,24794,14153,11045,6990,7455,5774,4103,3270,1656,,,,,
ES080808000565,4888,4555,5713,4548,2617,2080,1252,1371,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121311-12492,,,,,,,,,13629,24001,24153,23501,21346,19795,18119
ES10121310-749,,,,,,,,,40600,37521,41149,37115,50630,51543,53134
ES10121310-769,,,,,,,,,9399,8401,8670,10531,10212,13168,15404
ES10121312-73585,,,,,,,,,23137,22354,23260,22493,20979,36959,47161
ES084302000561,74002,69839,76026,72966,69208,71629,84726,82951,90488,94093,88535,90420,87292,92155,84930
ES012101000016,28579,29545,31963,31241,28328,29315,22736,22827,79527,63140,61832,60701,58712,56701,58251
ES101208000619,35534,38000,35497,26976,10786,9836,12639,14865,26253,25196,22582,25198,26361,21741,23911
ES101208000620,42400,44537,41577,36636,20608,19159,15104,18234,15633,13326,14246,19743,19602,19478,19473
ES101201001128,,40458,45789,37314,29421,30619,34872,36502,43757,32248,34153,34251,27887,25532,29500
ES101201001129,,38240,33637,41184,29975,28013,32910,36157,29754,27051,28866,26449,29343,25213,26169
ES10121310-846,,,,,,,,,9152,7275,9318,13092,15323,16414,13825
ES10121311-34067,,,,,,,,,9473,3464,5375,6405,5694,6222,9164
ES10121310-772,,,,,,,,,8389,6069,5252,5311,5533,5450,4445
ES10121310-791,,,,,,,,,6327,4586,3917,4810,5269,3603,
ES10121310-884,,,,,,,,,19152,19079,19576,19742,9143,3767,
ES10121310855,,,,,,,,,76,,,,,,
ES10121310-776,,,,,,,,,6591,7639,7634,8624,7252,6616,5630
ES10121310-850,,,,,,,,,12023,14299,14973,14681,13730,15350,15443
ES101208000622,95198,131243,137645,101064,54608,43974,99907,117943,118803,124575,126409,128223,127584,109920,113064
ES10121310842,,,,,,,,,8003,7197,7053,7032,6645,6253,6925
ES10121315-24497,,,,,,,,,,,17714,62163,115872,156743,181268
ES110607000722,55780,56554,55001,54195,37634,42830,39137,44308,65859,92259,95219,93841,91675,105060,121011
ES062407000379,88060,89904,91771,91445,83140,82529,85166,87465,87458,83614,88156,90438,91437,86152,89983
ES08432310-915,,,,,,,,,73939,104088,83153,95368,93681,89065,85606
ES070208000447,6972,6720,6946,5989,2650,3951,3426,2590,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121216-55887,,,,,,,,,,,,,1,,
ES012308000146,32396,29857,29583,13527,5235,5970,2079,5550,6720,7845,8398,8321,7907,7852,7513
ES1012131721017,,,,,,,,,,,,,10671,35971,34265
ES10121310-878,,,,,,,,,52609,55029,52995,55855,61211,52621,43547
ES10121313-17422,,,,,,,,,14510,19432,19688,21210,20924,13202,14842
ES080809000554,201334,188517,176847,176383,185198,180759,183343,187589,190604,185333,189775,186445,185012,187424,187796
ES19480910698,,,,,,,,,80350,73851,71706,75580,77103,77238,79374
ES10121310-874,,,,,,,,,22672,23333,22784,23200,25497,20721,20164
ES10121310-720,,,,,,,,,6693,5880,4175,6499,13151,12993,13361
ES053901001244,,,,112751,110407,130669,130049,108473,93727,98493,92620,108225,107962,118232,108710
ES025008001361,,,,,,,977,143,207,335,118,156,259,,
ES071907000463,30895,31798,34305,32467,25792,28448,23461,26828,14415,30267,28877,31197,32512,30638,29408
ES011108000080,43098,46211,23465,32694,32628,26816,31652,18510,16012,11277,1666,0,,,
ES101202000682,1000363,1015260,872530,927129,1063401,1056081,1070258,1018432,1188203,1184601,1176916,1165464,1015671,1201340,1281569
ES10121310841,,,,,,,,,546,4925,7291,5953,,,
ES081706000473,24760,48692,46218,38630,38571,31066,28467,28279,28612,32201,45673,36195,40305,35100,37393
ES012106000013,279530,285359,222818,222619,337396,375091,301994,330297,384413,394813,382171,418138,364596,390739,339938
ES101208000629,62692,74480,71425,56142,37893,45361,65215,66407,66222,63197,59689,62840,52373,44134,58385
ES101201000977,37515,59670,58089,49412,37699,51739,48200,53098,92895,85936,92836,93479,95563,95672,95182
ES10121310-793,,,,,,,,,34001,35132,40365,51426,57000,59551,60993
ES183106000875,144903,149906,166569,151224,143988,132091,126889,120984,130146,126476,136035,119960,133181,123824,122890
ES152806000823,122586,146403,135679,120600,96745,90875,78032,38036,59579,70584,69926,73310,110216,116171,143384
ES192006000895,154363,175024,205648,193517,190893,198393,238229,213092,235283,205256,204834,161644,217233,235825,231430
ES192006000896,38214,48899,42354,16026,2965,339,263,0,0,,,,,,
ES033306000209,83506,66726,78685,74739,55099,75924,70611,44372,45309,46098,43300,38664,62432,37314,55023
ES011806000003,35245,31384,24029,25044,18568,30703,17247,13766,17489,14372,22109,22485,24861,20316,18157
ES081706000470,68287,70737,72612,66007,61479,60510,47519,44390,52866,50425,68655,67498,69510,65304,67836
ES080806000471,104093,111722,109027,113306,112840,121079,118918,116138,110868,83279,92963,97429,87074,106376,105471
ES101206000632,59511,46990,59889,57626,48065,50647,50665,47909,57968,55940,47677,50124,44014,50592,46288
ES014106000005,131261,144796,150008,141455,147827,136281,152804,116059,125033,121123,157588,168105,177075,164393,147975
ES014106000004,25536,25740,27858,27934,22781,20129,20543,18092,16393,3017,0,,,,
ES121508000756,16231,18516,18777,10769,15484,11266,3034,3645,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074501001069,,10919,10282,8558,6059,4916,3872,3068,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES080807000603,73452,86766,72614,76204,68438,63362,77954,78223,81841,79458,80472,73170,74422,70822,71996
ES02441310-627,,,,,,,,,0,0,,,,,
ES08432310-936,,,,,,,,,12773,,,,,,
ES053909000311,181,189,179,187,198,198,209,291,112,0,,,,,
ES05391616-42792,,,,,,,,,,,,43,245,246,266
ES12150610-649,,,,,,,,,40245,40664,31606,32405,31264,32861,31253
ES19010610-699,,,,,,,,,6111,777,,,,,
ES084309000530,18401,11203,12257,10764,8202,6307,6690,6805,5416,5222,5512,5208,5202,7651,7895
ES194809000917,29374,29396,29421,28505,28422,29116,27467,26648,24562,24330,24267,23416,24605,25627,26202
ES033309000225,77566,64270,62912,79648,92664,76325,66802,58867,59463,58443,62871,58328,64077,61265,68188
ES192009000915,5704,5477,5774,8521,7670,7549,8434,5016,0,0,,,,,
ES053906000308,598923,597130,562421,503824,468041,424266,296818,280510,315058,406969,370207,303677,357459,351888,360765
ES062406000320,672477,706225,725622,721165,583735,505887,334430,366267,528875,555824,502383,520133,439545,480509,422903
ES122706000725,338616,347954,370457,376336,353085,332902,253731,191407,39840,6971,15669,1488,190127,185809,178442
ES011406000012,415653,426650,279132,330224,463278,510944,455907,321209,172115,156427,158769,312368,170747,298001,297586
ES194806000897,555017,527982,509137,478165,429042,366320,243119,178324,151634,304756,453243,470788,484799,444222,465157
ES080806000474,1179299,1219331,1101567,1144375,975193,998804,796901,800482,962781,954999,954310,984134,1051533,1043754,886386
ES080806000476,772597,770227,748555,461326,136321,20072,23071,84764,0,,,,,,
ES183106000877,675338,754797,728023,748975,485138,427072,386446,363555,245084,247434,260310,278699,290540,374981,373407
ES080806000478,944624,914923,954613,817051,635475,610051,496974,442702,0,100575,319,391,345,316,431953
ES063406000321,531572,520532,565789,486764,433123,457412,386065,247887,200329,266445,265215,272472,248112,249679,284891
ES014106000007,998886,1010678,1031509,971155,730411,671664,658529,526792,297732,334329,508529,665280,684814,598108,549571
ES150406000825,2111752,2023313,1931219,1334282,987680,922477,792210,582291,404672,379999,500389,551210,615662,596304,946554
ES062406000322,772157,824817,843135,707643,754100,719664,688395,686371,706472,688442,730746,696429,721430,731128,604358
ES011806000983,,,,0,0,0,0,0,0,0,0,0,,,
ES010406000011,592375,581160,642851,577705,440389,392664,253644,459140,424978,534339,479955,419503,377156,303335,615
ES025006000170,803175,812277,799248,705558,478525,455772,439619,392204,364379,362016,356762,361330,447465,343217,337150
ES084306000475,1563595,1462311,1433929,1005945,987356,1061609,985591,661162,171660,744246,767613,729559,778988,707752,698639
ES074506000383,1196918,1146890,1044576,661795,697898,461987,406367,261594,10,2144,7813,5028,2702,275793,519759
ES130706000775,470160,471739,459964,355415,165534,133710,125545,225944,229596,222521,227953,225274,225896,185456,334
ES104606000634,768315,721598,797827,837192,504396,643410,650184,545552,581257,599879,810485,798767,555338,652833,473686
ES104606000633,1323995,1395115,1231907,937655,702614,731897,693377,518965,497481,741312,829189,644444,653806,586957,464580
ES142608000815,58999,45195,45691,42474,35508,31321,32570,32193,32036,6949,3044,,,,
ES10121310-748,,,,,,,,,4638,6315,5698,6264,6789,7096,6394
ES10121313-17421,,,,,,,,,6309,6181,2717,,,,
ES033308000231,6220,7008,6715,4661,3709,2793,1937,1238,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000412,15958,16519,15142,10456,8108,6246,2705,1847,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES060508000363,4493,4867,4386,3814,3434,2764,2173,1847,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000132,5158,5039,5785,1679,866,590,384,620,671,748,655,650,640,620,679
ES104608000699,17037,20993,20398,17399,5604,6837,4942,4139,2993,9011,8477,7066,8307,6694,9234
ES104608000700,28203,40002,30457,26805,11903,7072,6126,5012,6775,0,0,,,,
ES062408000972,,81370,88921,78319,67927,72681,68936,65361,62225,28131,25123,19979,20890,22067,37897
ES062408000373,104806,76655,85229,80307,68670,60734,66165,60845,39830,33494,38023,34508,50663,62701,48795
ES101207000643,14006,20276,16812,14955,19739,19951,16644,18678,19855,16661,16735,11654,10164,6962,4851
ES10121310-788,,,,,,,,,6643,5715,5837,5723,5664,4814,2826
ES10121310-777,,,,,,,,,14303,12312,12715,13790,11695,10188,11922
ES064908000364,12692,15106,16573,10310,2378,3557,3399,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES152808000840,5809,4837,4585,2558,1075,815,0,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064008000377,7199,5358,5018,4039,1715,760,459,729,851,530,578,221,180,240,0
ES183108000890,9381,8804,9788,6170,2491,1327,3514,885,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000083,6130,2271,639,985,184,119,97,167,152,681,231,,,,
ES074508000413,13082,10872,9810,7695,7441,7503,6804,4627,6226,4879,6146,5413,Not Reported,,
ES082508000568,15360,14396,17197,12792,7459,6876,6957,5261,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES100308000683,19108,19225,19940,19682,3481,3747,8204,3003,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064008000359,19093,13888,11104,7960,5073,1817,1946,1581,1116,1617,1638,1181,778,620,0
ES070208000414,12590,10641,9950,6205,3574,2298,2412,1550,1055,994,1658,1308,1612,1169,2888
ES100308000684,15920,13947,16464,14298,2447,113,107,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064908000360,17064,17595,17968,11206,5032,4917,4458,3250,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES082508000569,9373,10490,11186,7619,5111,2649,613,3918,0,,,,,,
ES123608000758,5489,5552,5243,4084,2570,2670,2260,1696,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES022208000201,12814,14310,13093,9132,752,1414,1982,2179,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES082508000570,7991,9083,7501,4211,818,1493,1539,1501,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000416,21576,19764,19264,13735,6715,9156,3696,718,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES011808000096,4446,5791,7018,3011,1959,1409,1124,1187,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000418,14062,14071,14322,9225,7831,6700,6511,6160,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000419,61122,63380,53462,34432,23583,19176,10816,11927,0,12182,19836,18152,20560,18614,22405
ES012308000097,5549,5055,4319,3566,1262,1266,623,1135,773,723,832,820,1166,704,872
